Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
Yornif_Tatouf,0,25443,2,0,4,0,370,0,0,0,0,0,850,1,29.3126,0,0
Yourmamasentme1,62,203741,0,9,0,1,181950,1,125,262,0,0,494010,1,120.603,26.1304,7.35978
Yurator,0,131725,0,0,0,0,0,0,0,0,0,0,-9445,2,50.6815,0,0
Yuser-MAKUTOR,0,595,0,0,0,0,0,0,0,0,0,0,-24870,2,8.39294,0,0
Zen_v1,34,104388,56,4,264,0,98740,0,171,122,0,0,-3.83286e+06,1,80.9041,0,16.3409
Zivotinjica,254,401186,295,2,763,3,555970,1,326,696,0,0,-2.13654e+06,2,327.437,0,10.8393
_TaBarNax_,17,48635,7,0,24,0,31650,0,63,37,0,0,114475,2,53.3709,14.6854,7.56805
_TecH_x_N0iR_,14,17736,91,0,373,0,107290,0,31,60,0,0,-8850,2,39.9938,0,42.3562
_gh0stdad_666_,0,1064,0,0,0,0,0,0,0,0,0,0,0,2,10.1852,0,0
aK_Jeez,0,2292,0,0,0,0,0,0,0,0,0,0,0,1,13.1508,0,0
aa_cofoe,19,65811,0,0,3,0,26070,0,54,30,0,0,124080,2,59.2248,11.9672,6.08609
aiueosoba,0,4814,0,0,0,0,0,0,0,0,0,0,-209820,3,16.8374,0,0
amjadr360,14,142593,18,1,78,0,57930,0,30,65,0,0,-3.86116e+06,0,66.0373,0,14.0199
angles951,301,293004,223,0,870,1,210660,1,155,398,0,0,303900,3,367.141,12.0271,8.14185
anotherling,1,5444,0,0,0,0,0,0,0,0,0,0,-52250,0,18.5413,0,0
argus4,59,116133,85,38,521,2,136830,0,147,191,0,0,376610,3,107.599,22,16.9395
arriola_00,52,102713,62,0,158,0,79380,0,68,70,11,4,38535,1,98.6521,7.36852,10.2501
asekas69,81,220015,158,0,709,2,289310,0,169,246,0,0,-3.20084e+06,2,141.122,0,17.7303
axl0088,0,41475,0,0,0,0,0,0,0,0,0,0,-4.14109e+06,3,34.4924,0,0
bartomoto440,0,43772,0,0,1,0,750,0,1,1,0,0,-1310,2,35.1171,0,0
batfur,5,63231,13,6,46,0,16960,0,16,54,0,0,11400,1,44.6926,28.4576,20.6316
battery_zhu,8,29648,3,0,14,0,15770,0,29,23,0,0,63550,3,38.8443,15.1548,8.66303
bet_yours,99,62994,93,78,655,0,129540,0,106,113,1,0,333630,3,138.643,13.8375,14.0138
bikingwaffles,0,0,0,0,0,0,0,0,0,0,0,0,-77170,2,0,0,0
biniu44,74,187007,92,19,684,0,181860,0,145,149,0,0,376395,2,130.955,17.9942,17.0405
bob996,4,4080,3,0,17,0,7960,0,4,20,0,0,28300,1,19.9349,13.0353,11.679
budabellyx,0,62332,0,0,0,0,0,0,0,0,0,0,-6.42041e+06,1,39.5038,0,0
bumpifobic,32,108433,55,0,190,1,75190,0,37,85,0,0,26600,2,79.5017,7.97903,13.9618
cagli77,0,64292,0,0,0,0,0,0,0,0,0,0,0,2,39.9132,0,0
carballosport,3,26762,0,0,0,0,6230,0,9,6,0,0,-5.05614e+06,2,32.8101,0,6.75005
cb58ooops,17,72944,0,0,0,0,66010,0,84,68,0,0,193500,0,58.627,22.9609,7.8934
cixie2016,0,10106,0,0,0,0,0,0,0,0,0,0,0,3,21.5539,0,0
cracked8thst,8,48169,0,0,0,0,9910,0,19,32,0,0,-37345,2,44.2545,0,5.93171
cuertsi,0,48074,0,0,0,0,0,0,0,0,0,0,-2.88937e+06,2,36.2306,0,0
cxBasic,4,23935,0,0,1,0,10200,0,8,25,0,0,47850,3,32.7222,17.6652,7.10616
d3r_OnK3L,0,11583,0,0,0,0,0,0,0,0,0,0,-878950,2,22.5555,0,0
dIRTYJONI007,170,548104,160,11,646,2,330820,0,233,419,0,0,201250,3,251.478,13.1797,10.6418
daluoooo,75,117985,248,37,1491,1,147420,0,202,189,0,0,0,3,123.856,10,29.658
darkangel03331,29,49041,25,0,6,0,73340,0,71,79,0,0,201990,1,65.4717,16.2006,8.09078
dddaaarrrr,33,145894,64,5,336,0,90270,0,76,106,0,0,44180,1,85.4354,12.5489,19.2317
dddddimon,29,67849,23,0,80,0,48600,0,20,18,0,0,62300,2,69.6353,4.11622,9.3974
de-rudy55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
defenderstorm,0,37149,0,0,0,0,0,0,0,0,0,0,0,1,33.2501,0,0
denis022,8,68655,0,0,0,0,10440,0,16,10,0,0,25260,2,48.7955,6.93445,6.01039
dido9721,115,196993,986,0,5282,0,434180,0,271,296,0,0,661710,2,172.95,27.5144,61.8384
dlr79,5,27781,1,0,0,0,9740,0,13,17,0,0,69030,2,35.1834,14.3232,6.6435
drayco187,0,28290,0,0,0,0,0,0,0,0,0,0,0,1,30.3664,0,0
ecthable,8,76990,0,0,0,18,30290,0,45,59,0,0,108800,2,50.3821,29.5181,9.84414
enjoykillin,19,70426,21,0,52,0,34100,0,29,37,0,0,105030,3,60.1429,9.40653,9.50812
enton_1989,0,95493,0,0,0,0,0,0,0,0,0,0,-48475,2,45.5334,0,0
foul0wl,0,23515,0,0,0,0,0,0,0,0,0,0,0,2,28.5534,0,0
fox-judgment,0,0,0,0,0,0,0,0,0,0,0,0,-22180,3,0,0,0
fraGer71,14,37679,4,0,16,0,13180,0,14,11,0,0,60230,1,47.4073,5.05219,6.53857
francky61100,0,5356,0,0,0,0,0,0,0,0,0,0,0,2,17.4463,0,0
frank186,18,77232,29,0,116,0,44500,0,78,54,0,0,135360,2,60.4264,18.296,15.0512
frapsoffice,0,111998,0,0,0,0,0,0,0,0,0,0,-3.81302e+06,2,48.0161,0,0
fsxdc,20,205288,39,5,168,0,19370,0,49,61,0,0,108610,3,78.7512,14.5125,15.5779
fullmoon45,22,46691,66,0,466,0,51910,0,63,109,0,0,122870,2,57.8802,18.9318,30.9692
fznwat,48,49500,172,0,403,0,233820,0,351,255,0,0,160740,1,84.585,30.0283,19.3542
gorant87,0,28012,0,0,0,0,0,0,0,0,0,0,0,3,30.2667,0,0
greenrose1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gugafsa,3,6256,0,0,0,0,5420,0,9,3,0,0,12080,1,21.3724,8.48195,6.51898
hefferveisen,73,200060,0,5,20,0,90080,0,39,115,0,0,235530,3,131.249,11.1404,5.92571
hesus225,0,67143,0,0,0,0,0,0,0,0,0,0,0,2,40.4941,0,0
heyFKme,0,19685,0,0,0,0,0,0,0,0,0,0,0,3,26.9121,0,0
hiro306h,49,51555,0,0,101,0,88100,0,64,171,2,5,87860,3,86.084,11.8943,8.51084
huehnerhugo,29,93070,45,0,569,0,101060,0,46,44,0,0,130580,2,74.1454,10.1569,28.6828
huskylux,67,70795,127,0,329,0,108770,0,84,190,0,0,257950,2,108.215,15.763,12.3472
iFunTox,0,7466,0,0,0,0,0,0,0,0,0,0,-29210,2,19.4867,0,0
iSyvia,14,85009,0,0,0,0,9620,0,8,25,0,0,10900,2,57.8038,4.43968,5.11964
ice-Gunactor,35,93219,47,0,202,1,84070,1,81,121,0,0,198010,3,80.1695,17.0883,14.0007
illogitech_ita,2,59370,0,0,0,0,700,0,1,5,0,0,-135305,2,40.8685,0,4.32531
ilnein,1,18235,0,0,0,0,2420,0,7,6,0,0,-6.80563e+06,2,27.235,0,7.01381
inox40,25,155691,0,0,0,1,73880,0,113,49,0,0,206795,2,78.5826,18.3359,7.37292
isoss22,0,30658,0,0,0,0,0,0,0,0,0,0,0,2,31.1903,0,0
jabbothehut,0,1282,0,0,0,0,0,0,0,0,0,0,-147990,2,10.8374,0,0
jaianman,167,210569,100,41,498,1,243150,0,156,294,3,0,507550,3,226.25,19.4878,9.17612
janus1974,28,107240,0,0,1,0,92490,0,55,40,0,0,78370,2,75.327,8.60788,7.58101
jdasjdas,9,50544,18,0,20,0,15580,0,33,9,0,0,62160,2,45.8402,11.1119,10.4502
johnnybuda,103,208666,792,11,2158,2,488380,0,258,367,0,0,675490,2,162.071,30.871,36.2979
jucksack123,0,0,0,0,0,0,0,0,0,0,0,0,-4565,2,0,0,0
k3lomat,15,22100,104,0,463,0,52350,0,32,26,0,0,0,2,42.9694,7,44.6861
k3zza_m4chin3_,58,139047,312,0,676,0,158590,1,121,146,1,1,389895,3,109.603,20.3574,24.231
kONe_III,0,12298,0,0,0,0,0,0,0,0,0,0,0,2,23.0099,0,0
kabelimats,151,225584,200,3,615,1,443320,0,128,420,0,0,204640,2,211.625,13.2752,12.3604
kchillout57,0,8203,0,0,0,0,790,0,4,1,0,0,-31880,2,20.1073,0,0
keneer,16,57171,73,0,142,1,50460,0,39,62,0,0,-25515,1,54.3831,0,20.4934
kennykennith,3,198835,0,0,0,0,300,0,1,0,0,0,-48690,3,61.1297,0,3.16228
kitsune_k4waii,35,40041,7,0,23,81,76792,0,24,127,0,0,0,3,69.0906,8,9.84399
koldino79,37,184661,221,0,975,0,136680,0,143,138,0,0,350070,2,93.7157,25.2834,39.796
l-EternaLEnVy-l,0,2625,0,0,0,0,0,0,0,0,0,0,0,3,13.7585,0,0
lBASl,0,562,0,0,0,0,0,0,0,0,0,0,0,2,8.23497,0,0
l___SPY___I,12,99188,5,20,6,0,33590,0,8,19,0,0,-3.85068e+06,2,58.1127,0,9.27362
