Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
EDDISONN,786,789315,128,9,6829,4,1841080,3,1429,1657,62,17,740305,2
ENiGMAdubz,813,829953,984,185,3342,2,1258810,2,1643,2808,40,11,1.91295e+06,2
ERoTiiCK,654,636120,2726,59,9921,3,1533880,3,1714,1938,166,47,2.564e+06,2
EgoBusta,1050,1310940,483,161,1745,1,1847480,6,5013,5735,3,1,6.53716e+06,1
Emzak77,847,861110,1577,223,4391,1,1801580,3,1915,2923,15,0,3.2362e+06,1
Eradon10,1002,1000682,891,52,6801,5,1410040,3,1645,3130,0,0,3.14259e+06,2
EusKa_Z3phyR,1204,1258414,3839,18,19499,590,1849690,5,4233,4265,0,0,5.99793e+06,2
Ever3lade,1159,1162594,2765,391,13331,12,1897820,4,2971,2953,8,0,4.09324e+06,1
FAILorigin,1569,1630604,3157,103,9597,3,2636360,7,4509,3953,20,7,5.75494e+06,2
FEARush-BLiZZaRD,1101,1106862,1098,78,3456,3,1973650,3,1848,2919,23,13,4.19529e+06,2
FFI_Oneal,771,1116844,1705,278,16138,9,1727520,3,3173,3664,72,10,3.49143e+06,2
Fantasy-MG,1017,656788,2128,21,7806,2,1593440,2,3064,2766,0,0,718150,2
FarewelI,844,848144,301,137,4337,3,2013820,5,2890,2840,26,12,4.95056e+06,1
Fatedxin,1005,1120012,1352,90,4911,12,1457540,3,2479,2192,1,0,4.12604e+06,1
Firespawn84,731,833014,1013,101,7170,2,1280590,2,1646,2061,1,8,1.36515e+06,2
FlexerJR,949,826003,686,10,1173,4,2190920,5,4005,2696,49,19,4.04742e+06,2
Floatinify,679,739754,1848,107,10112,6,1336910,2,2191,3533,1,1,3.87344e+06,1
Floooweiz2,1438,1722977,56,19,225,4,1816070,5,4654,2818,0,0,7.7383e+06,2
Foxdie911,795,883351,905,135,4398,4,1620480,4,2956,4917,12,3,3.9017e+06,2
Foxxhound_87,857,718618,1636,120,7125,5,1565120,2,2075,1933,12,7,3.69888e+06,2
Frakes95,1038,1075807,5006,100,11232,5,2569140,6,3985,3058,15,6,5.65451e+06,2
FuRioN_VoXmaN,1594,1264271,405,26,1009,2,2569960,7,3838,2323,342,148,5.01617e+06,3
Fuego-Rey,998,1093377,941,354,7234,3,1629720,3,2717,3647,3,2,4.93592e+06,1
GDSpink,1113,993883,851,51,2260,2,2036370,7,6060,5669,5,6,6.50127e+06,2
GOLDSUNN,974,1154256,395,179,2500,41,1678070,4,3813,2981,0,1,4.26635e+06,3
GROMRP,836,1022530,1315,85,6316,5,1776940,4,5043,2404,6,4,6.81972e+06,2
Garliqe,1356,1226236,786,12,3205,10,2121530,5,4302,3191,0,2,4.94049e+06,2
GeforceRx480,1257,1365263,187,117,2799,1,1279260,3,2035,2910,4,0,3.83987e+06,3
GehtAbAlder,871,899495,2197,115,14698,4,1526060,3,1397,2546,36,5,1.08438e+06,2
Geirilius,797,908022,1753,103,12324,3,1618740,3,2211,2942,12,0,4.13013e+06,2
German-Strike,1369,1119712,962,71,6383,11,2071850,4,3634,1636,2,0,5.86704e+06,2
GloryPlay,571,691977,2097,1,12427,44,2152060,3,2992,3107,0,0,4.97882e+06,2
Goulashn1kov,961,1115846,1141,108,5409,5,2064620,5,3512,4078,17,5,4.12088e+06,2
Gozli,515,730111,1779,67,7673,3,1599540,3,1705,2307,4,0,2.77662e+06,2
GrandMasterGuess,1136,1345102,848,95,4623,10,2525780,8,4050,5665,0,0,6.03166e+06,1
GrayskullCube,1123,1185742,1738,87,9096,3,2236960,5,1494,3143,52,21,1.36995e+06,2
Grisu0302,1129,1367928,1565,108,6899,3,2188500,6,2535,1897,3,6,526090,2
Gsundi_Aut,1430,1149983,2686,234,14563,12,3484030,8,5541,3323,77,13,4.63278e+06,2
Gunridden,641,651956,1308,52,4795,4,1575260,3,2825,2822,2,0,3.03767e+06,1
Gwar04,1189,1109770,1624,259,5926,3,1941130,4,1937,2385,16,2,3.85536e+06,2
H445E,1401,1694408,677,134,6220,14,1676020,4,3371,2714,0,0,5.4355e+06,2
H4i-Fish,1552,1411502,3243,226,21641,26,3216450,6,5330,4758,0,0,8.21594e+06,2
HAMMER_H2_SUT,1089,1101794,2935,952,15591,52,2875770,4,2955,2211,4,2,5.50841e+06,3
HGS18_Flash,1336,1651853,1572,252,12188,6,2427300,6,3515,3370,11,1,5.59464e+06,2
HImeNaa,1351,1606827,3301,1115,21954,10,2508100,6,1771,2158,15,9,1.61598e+06,3
HUDISH1923,482,440373,267,80,1840,1,1324860,2,1545,2069,9,0,2.86235e+06,2
Halenio,979,966007,1599,794,9156,16,2656220,5,3150,1393,2,0,6.28083e+06,1
HardMacK,999,945591,1815,279,6109,10,2016670,3,2057,3219,22,6,2.923e+06,1
HearMeR0aR,1034,1508842,11425,19,27178,829,2410550,5,6082,5792,0,0,8.18822e+06,2
HeiligeHeinrich,885,1103198,2826,173,10856,5,1749840,3,2423,3094,29,21,4.22675e+06,2
Hoowuth,850,851558,3157,251,13276,3,2282600,5,2916,2616,12,3,3.22654e+06,2
HsTJeges,709,859145,717,72,2770,3,1973910,5,2932,3144,115,30,318670,2
HugeAssman,1235,1513853,3067,130,9909,8,2241970,5,3796,3598,21,9,6.33886e+06,2
HumpelHelge,704,820382,2426,95,5392,5,2397750,5,3438,2175,10,2,5.44391e+06,2
I-MazoR-I,967,957657,707,424,2942,7,1741100,5,3020,4160,0,0,4.24839e+06,1
IIpOII,975,1116714,1741,132,11024,5,1929360,5,2856,3381,2,1,3.61474e+06,2
IIxShahinxII,1006,763494,240,17,1408,146,1581050,2,1312,1758,240,49,1.91741e+06,2
