Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Animeshnik_Sergo,985,1108384,2863,45,10846,3,1859770,4,2123,3880,43,13,2.3568e+06,2,1108384,0,985,0,0,0,0
AnvarAx,975,1014920,112,166,843,13,1604430,3,3471,3452,1,1,5.4245e+06,2,1014920,0,975,0,0,0,0
Anzai_tiyomi,1540,1668591,3147,238,14289,20,2505500,5,5031,5375,29,27,6.57259e+06,3,1633139,35452,1494,46,78.7364,15.4031,24.882
Aoba0302,1293,1371479,1346,17,4462,3,1655610,4,3246,3112,0,0,4.40662e+06,3,1371479,0,1293,0,0,0,0
Arengeta,712,852451,1849,66,6558,2,1668610,4,3331,3346,11,6,3.91955e+06,2,852451,0,712,0,0,0,0
Armegedon85,763,834144,2339,75,7406,18,2622750,5,3130,2841,0,0,5.10184e+06,1,834144,0,763,0,0,0,0
Arr0wH34D,1371,1289413,2731,303,16470,5,3288420,9,5948,6563,55,18,6.14619e+06,1,1289413,0,1371,0,0,0,0
AstroCrusad3r,1197,1285020,1842,237,13563,2,1547620,4,4320,4240,4,2,503830,2,1285020,0,1197,0,0,0,0
AustinPD,2197,2168698,261,10,1708,325,2034820,5,1729,3011,1,0,4.65015e+06,3,2149873,18825,2172,25,51.5147,7.48542,5.21035
AydarUA,1623,1452887,749,185,3137,4,1797460,3,2279,2506,0,2,3.79648e+06,2,1439061,13826,1604,19,42.925,7.56236,6.36663
Azret_Megalol,1424,1506636,2014,11,12465,4,1960350,5,3271,3170,79,52,4.55793e+06,2,1498234,8402,1418,6,26.2684,19.3364,8.21302
B00tybanditxxl,2227,1029761,2008,0,8001,125,3304270,9,7916,4857,1,0,2.40699e+06,1,1029761,0,2227,0,0,0,0
BREITSAX,1277,997206,1066,64,12933,18,1754310,1,1423,1759,12,6,1.19228e+06,2,934372,62834,1181,96,135.609,2.0055,5.3133
B_TO_THE_MANE,972,865692,2266,61,8799,5,2028140,5,3902,2778,49,30,5.76677e+06,2,865692,0,972,0,0,0,0
Ba-Ba-Bambino,1779,1173595,2132,110,4764,2,1492720,2,1528,2207,67,24,2.10695e+06,1,1173209,386,1777,2,9.26664,0,9.54043
Bane_Swako,658,541133,306,12,772,832,1010370,2,589,2511,0,0,2.46935e+06,1,541133,0,658,0,0,0,0
Barbadus,852,779943,1485,89,7261,7,1690000,3,1578,2739,209,84,2.38715e+06,1,779943,0,852,0,0,0,0
Bazyliszq,892,902218,1137,152,7773,3,1450220,3,3082,2134,2,1,4.69421e+06,2,902218,0,892,0,0,0,0
Belegsul,1283,1437640,2693,5,6603,1,1744240,5,2504,3441,7,5,4.45682e+06,2,1431880,5760,1277,6,23.874,6.46373,11.6058
BenderArmand,1154,1276007,2693,146,10875,8,2210450,5,3873,3807,1,0,6.62624e+06,1,1226107,49900,1101,53,89.6832,25.3556,27.6815
BlackAngels_H,1306,1621071,338,8,1699,17,2015080,4,3132,2701,7,2,6.31627e+06,3,1605098,15973,1292,14,39.1031,13.6948,6.96253
BlackDeparted,706,890506,1825,174,8690,5,1926540,4,2167,2676,5,2,3.75236e+06,2,890506,0,706,0,0,0,0
Blacktearsred666,869,1092187,1952,131,3835,3,2080390,3,1946,2448,4,2,4.49242e+06,2,1092187,0,868,1,1,18.1114,2.11474
Blazejump,817,830607,1253,25,2754,312,1828600,4,3940,4164,3,2,5.66594e+06,3,830607,0,817,0,0,0,0
Blissfultimes,1207,1119308,2682,203,9519,2,2068100,4,1753,2639,3,2,3.75745e+06,2,1097820,21488,1186,21,48.709,10.6379,35.2129
Bloons_that_Tanz,728,709156,1572,124,6803,3,1588970,3,2589,2696,7,10,3.56686e+06,1,700746,8410,719,9,29.2748,15.9345,32.0448
BlueFalcon85,755,748756,1083,50,3461,2,1597230,3,2194,2629,43,22,2.56877e+06,1,748756,0,755,0,0,0,0
BoWu_mit_Senf,1326,1743590,1245,102,9384,27,2103540,6,5353,5902,2,0,6.32599e+06,2,1743590,0,1326,0,0,0,0
Bonebraker2,1320,1491048,990,201,4251,21,3148020,8,4181,2360,5,2,6.55927e+06,2,1491048,0,1320,0,0,0,0
BoxingPanther,794,596015,1781,57,12832,6,1737260,2,2333,1512,36,12,1.21185e+06,2,596015,0,794,0,0,0,0
Boyzabackintown,4323,2224093,655,66,3026,4,2175420,4,2941,2722,11,2,3.64294e+06,3,2217408,6685,4306,17,35.7827,1.63577,3.96437
BrainECrack,1152,710403,1462,99,5395,4,1706460,2,1495,1302,106,34,822560,2,710403,0,1152,0,0,0,0
Briku1,1161,1326662,351,96,1238,3,1015460,2,2274,3609,7,6,3.98848e+06,1,1325140,1522,1159,2,13.4748,8.5376,19.6992
Broth3r,1111,1258997,2587,216,7725,5,1924000,6,4083,5926,6,4,4.67745e+06,2,1258997,0,1111,0,0,0,0
Brrryyaaan,649,903074,962,51,2450,3,1262770,3,2170,3381,1,1,3.4573e+06,2,903074,0,649,0,0,0,0
Bulldawzer1,616,712512,3993,9,18420,9,2053680,4,3466,3415,3,0,4.89995e+06,1,712512,0,616,0,0,0,0
BulletF365,956,1102563,2,27,58,26,1600120,3,1555,2308,3,5,3.00009e+06,2,1078845,23718,936,20,48.6353,9.77119,6.85876
C0ldF1re,863,973100,1063,227,7997,8,1597200,3,3148,2444,43,2,4.22123e+06,2,973100,0,863,0,0,0,0
CCCCaesar,1507,1337295,1378,72,6252,4,1442680,3,1703,2536,5,1,2.99778e+06,3,1328743,8552,1497,10,30.3882,2.40897,12.5474
CHUCKPATRIOT,3717,2705240,1952,118,7093,4,6659500,14,8694,6648,18,9,1.40544e+07,1,2662979,42261,3666,51,85.7087,15.1529,11.9581
CN-AJun-Felix,856,926978,1417,207,6805,4,1434590,3,2134,2754,33,15,2.66563e+06,1,926978,0,856,0,0,0,0
CaSh_894,790,1012476,2107,9,9274,3,1648240,3,2309,2894,0,0,2.08555e+06,2,1012476,0,790,0,0,0,0
Capulet09,1003,1159490,4532,13,18471,3,2821340,5,3056,2808,6,9,5.57952e+06,2,1132449,27041,986,17,46.9132,23.404,26.9883
Cardboard_Manx,1301,1878589,2108,389,14769,14,1329650,2,1292,4079,0,0,290700,2,1861792,16797,1293,8,33.5271,18,9.00599
CeMoLi09,897,874044,970,93,4034,1,1451620,3,2732,2576,32,12,4.59475e+06,2,868437,5607,882,15,32.7144,10.6261,6.02644
Ceffster777,1234,1171636,2527,153,9489,10,2001690,3,2485,1831,0,0,4.65136e+06,2,1154080,17556,1215,19,44.9056,10.418,52.0593
Chackallll,930,1086370,1268,182,8345,3,2141090,6,4743,5453,0,0,6.71645e+06,1,1086370,0,930,0,0,0,0
ChefExecutifDCAP,724,707203,594,101,1568,1,1582960,3,1416,2559,9,0,1.8703e+06,1,687975,19228,703,21,47.7024,13.0181,10.4136
Chmeee,587,603650,1043,53,4999,4,1307520,2,1667,2356,36,14,2.17188e+06,1,603650,0,587,0,0,0,0
ChoxieSekurai,740,891618,3363,101,12900,3,2504860,7,3218,3972,4,0,3.88746e+06,1,888693,2925,732,8,22.2633,18.7505,8.33871
ChumBucketDeluxe,982,1229080,2848,46,11445,2,1752720,4,3456,4392,3,1,4.82732e+06,1,1220666,8414,973,9,29.278,14.9672,17.7711
Clanck86,2157,1219586,1597,191,11246,6,3930310,10,8788,3088,8,6,2.1498e+06,2,1207809,11777,2140,17,39.6806,16.6413,19.7108
CloudTiger88,2388,1058824,56,0,443,1,636303,25,49,24,0,0,11485,2,1056376,2448,2381,7,20.4423,0,3.26039
Cloud_n_em,1122,1311374,909,238,15203,2,1626900,4,3177,3186,1,0,5.70949e+06,3,1308076,3298,1109,13,27.8449,10.0001,23.118
ColMooncheeze,693,843892,2566,33,8968,8,1836560,4,3784,5010,9,5,5.72513e+06,1,843892,0,693,0,0,0,0
ComeTooBesiktass,1052,1020282,99,57,2394,8,1750550,3,2546,2386,10,11,2.04036e+06,2,1004259,16023,1035,17,42.1293,12.5111,7.17618
CoolP1ggy,775,708964,3133,246,18287,5,2014650,3,1893,2077,43,22,2.40636e+06,1,708964,0,775,0,0,0,0
CornedBeefQueef,748,743194,2177,142,12297,3,1296640,2,2342,2991,1,2,1.75279e+06,2,722788,20406,732,16,43.2364,19.1059,15.385
CosmeticOrange,687,687955,1317,6,5494,3,1581280,3,1541,2445,16,5,2.14733e+06,1,687955,0,687,0,0,0,0
