Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
AnvarAx,975,1014920,112,166,843,13,1604430,3,3471,3452,1,1,5.4245e+06,2,1014920,0,975,0,0,0,0
Anzai_tiyomi,1494,1633139,2962,238,13587,19,2450430,5,4901,5250,29,27,6.43354e+06,3,1630189,2950,1486,8,22.3038,9.66274,6.14619
Aoba0302,1293,1371479,1346,17,4462,3,1655610,4,3246,3112,0,0,4.40662e+06,3,1371479,0,1293,0,0,0,0
Arengeta,712,852451,1849,66,6558,2,1668610,4,3331,3346,11,6,3.91955e+06,2,852451,0,712,0,0,0,0
Armegedon85,763,834144,2339,75,7406,18,2622750,5,3130,2841,0,0,5.10184e+06,1,834144,0,763,0,0,0,0
Arr0wH34D,1371,1289413,2731,303,16470,5,3288420,9,5948,6563,55,18,6.14619e+06,1,1289413,0,1371,0,0,0,0
AstroCrusad3r,1197,1285020,1842,237,13563,2,1547620,4,4320,4240,4,2,503830,2,1285020,0,1197,0,0,0,0
AustinPD,2172,2149873,261,10,1695,325,2016380,5,1703,2972,1,0,4.57581e+06,3,2143964,5909,2166,6,24.0266,4.84196,5.44654
AydarUA,1604,1439061,734,185,3137,4,1766240,3,2248,2484,0,2,3.71961e+06,2,1439061,0,1602,2,2,8.11773,7.95271
Azret_Megalol,1418,1498234,2014,11,12465,4,1933050,5,3241,3141,79,52,4.54986e+06,2,1498234,0,1418,0,0,0,0
B00tybanditxxl,2227,1029761,2008,0,8001,125,3304270,9,7916,4857,1,0,2.40699e+06,1,1029761,0,2227,0,0,0,0
BREITSAX,1181,934372,1066,64,12929,17,1677790,1,1355,1697,12,6,1.19222e+06,2,932554,1818,1178,3,15.1743,4,7.67286
B_TO_THE_MANE,972,865692,2266,61,8799,5,2028140,5,3902,2778,49,30,5.76677e+06,2,865692,0,972,0,0,0,0
Ba-Ba-Bambino,1777,1173209,2128,110,4757,2,1491870,2,1528,2207,67,24,2.10695e+06,1,1173209,0,1777,0,0,0,0
Bane_Swako,658,541133,306,12,772,832,1010370,2,589,2511,0,0,2.46935e+06,1,541133,0,658,0,0,0,0
Barbadus,852,779943,1485,89,7261,7,1690000,3,1578,2739,209,84,2.38715e+06,1,779943,0,852,0,0,0,0
Bazyliszq,892,902218,1137,152,7773,3,1450220,3,3082,2134,2,1,4.69421e+06,2,902218,0,892,0,0,0,0
Belegsul,1277,1431880,2671,5,6579,1,1741540,5,2499,3427,7,5,4.44525e+06,2,1431880,0,1277,0,0,0,0
BenderArmand,1101,1226107,2394,124,10061,8,2104810,5,3669,3618,1,0,6.23641e+06,1,1216973,9134,1093,8,28.8401,16.6382,6.86031
BlackAngels_H,1292,1605098,334,8,1694,16,1982180,4,3081,2672,7,2,6.23503e+06,3,1600544,4554,1285,7,23.5289,8.70272,19.6849
BlackDeparted,706,890506,1825,174,8690,5,1926540,4,2167,2676,5,2,3.75236e+06,2,890506,0,706,0,0,0,0
Blacktearsred666,868,1092187,1952,131,3835,3,2080370,3,1944,2441,4,2,4.49012e+06,2,1092187,0,868,0,0,0,0
Blazejump,817,830607,1253,25,2754,312,1828600,4,3940,4164,3,2,5.66594e+06,3,830607,0,817,0,0,0,0
