Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
kowletsrock,182,218125,387,35,1221,37,239061,608,638,654,0,0,958000,2
krakey,236,214501,554,3,1728,1,359409,921,772,545,29,12,1.05229e+06,3
kttjj2,196,181139,337,12,2340,6,217165,494,195,236,0,0,204790,2
kubo10000,173,148965,169,85,1331,855,251940,426,388,324,5,3,184545,2
kuhlermann,339,364054,706,68,3173,1,550825,1,1133,970,11,3,1.42533e+06,2
kukulth,275,329269,168,64,1252,2,333470,988,753,792,0,0,738445,1
kukuruka03,229,264134,250,10,2010,511,311517,937,451,894,0,0,460570,2
kupalupz,108,95920,135,22,782,586,250692,558,323,350,0,0,485210,1
kuzniczanin,483,389368,564,31,2395,2,424750,898,572,725,17,11,766815,2
kuzuVosh1,240,233588,379,86,2061,1,433512,1,740,546,3,2,1.01911e+06,0
kvitekk,79,110495,513,0,3270,54,179587,300,117,260,0,0,0,2
kyoutei14,183,235784,132,0,2444,3,398518,1,689,630,0,0,815355,1
kyui,537,332294,366,0,2242,2,372025,875,767,522,0,0,570150,3
l-GEN-O-CIDE-l,667,296562,1080,0,10826,131,333116,5,21,16,0,0,9490,1
l30fin0,180,176297,1093,0,4496,265,326262,711,685,459,37,8,875095,2
lIBANEIl,504,551524,578,4,4223,1,1324320,4,2530,2295,0,0,3.21992e+06,1
l_Chufis4_l,123,96994,123,53,202,374,186121,381,185,331,4,4,314355,2
la40ene,555,687477,14,6,39,70,559618,1,758,748,3,1,901045,2
lakun1074,172,257053,68,7,842,521,229320,600,551,1020,0,0,817875,1
laoziyidalipao,568,464626,786,28,6212,520,344333,950,855,641,0,0,973661,3
late_night_bumps,117,150281,475,5,1130,394,220106,319,232,329,0,0,462565,1
lava83,400,313493,365,34,1793,1,504151,1,449,363,3,3,471220,2
lcm1995,104,94005,1,0,14,3,177895,254,95,237,0,0,0,3
ldjhappy,832,717354,351,138,991,4,543101,1,604,999,0,0,1.51294e+06,3
leleille,684,446998,690,26,4190,1,714511,1,951,525,21,2,753155,2
leo39181748,181,170706,114,10,1231,1,157042,440,352,335,0,0,565100,3
leyeon,218,192380,506,242,3648,1,391122,917,252,388,106,43,353330,3
liatiaoge,203,197832,80,67,552,533,164619,456,360,917,5,0,558425,3
lillex1336_SwE,148,138883,1047,261,5793,4,391515,504,506,250,0,2,676185,2
limicatMUSASHI,270,286522,231,42,1055,1,315153,973,559,750,0,0,718870,1
lincony,247,264589,991,17,9324,5,706885,1,733,995,1,1,483540,1
liyuenlong,1819,1110663,469,106,2454,3,1064090,2,1222,771,14,9,1.62094e+06,3
ljzep8ggo54p,232,269422,504,13,1277,1,310392,681,330,330,0,0,703250,2
lll-Volcano,299,236610,1935,4,13350,206,379512,701,625,743,22,3,623540,2
loganbeaupre1,329,392311,432,7,1443,296,572445,1,801,905,0,0,1.13865e+06,1
loganthecrusher,243,247765,363,24,950,942,344169,908,349,534,20,8,413046,1
logoune,342,409571,851,11,6494,305,493297,1,587,717,1,0,773380,2
loneranger1395,281,285057,57,13,330,1,198039,381,390,597,0,0,717150,1
