Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
badmaner,1288,959053,759,75,6281,9,1763460,3,3828,3277,2,2,6.31934e+06,2
barbar0ssa_4,984,795850,1865,636,5946,13,2740400,5,1951,2742,22,8,2.5416e+06,2
bell-lin-JPN,1346,1331888,1363,53,7302,6,1906440,4,3018,3066,0,0,5.16317e+06,3
birgire,2790,1197782,5055,98,14905,10,2465270,5,3472,3349,3,1,5.51145e+06,2
biytoar,659,1580234,2676,151,6574,7,2451000,5,2910,3494,33,17,4.37291e+06,2
bluefoxh,1893,2461250,1129,142,12321,14,2571780,7,7670,7242,0,0,1.19144e+07,3
bomb1922,1613,1186964,3219,447,20269,14,1733080,3,2817,2084,0,0,2.83765e+06,2
buggsy442,1223,1310704,1885,15,12427,7,2489520,4,3141,3580,17,0,6.96402e+06,1
burtethead,1312,844093,1371,144,5993,1,1735940,3,2565,3302,9,1,4.36106e+06,2
camrule,1430,881956,3444,274,10057,5,2518610,4,2535,2329,67,34,2.67326e+06,2
chiquita333,1291,1088669,625,25,9849,4,1757500,4,2174,2872,172,66,2.65923e+06,2
chr23k,1372,1631968,2887,170,36459,5,3608790,5,2639,3135,25,7,1.18228e+06,2
conflictuzz,762,1116258,1945,709,11649,4,3165930,8,4938,5829,14,8,8.3449e+06,2
conny63,1623,2128860,9,0,21471,37,3331580,2,1490,722,1,1,2.03875e+06,2
courier59,1131,1703276,1217,324,5627,6,1712580,4,2248,3023,0,0,3.69527e+06,2
cpD3ath,753,1997162,587,153,12917,5,2089600,5,3669,3203,7,0,5.92108e+06,2
danagin,1279,1659477,2348,101,15843,14,2819830,6,4233,4372,6,5,6.26372e+06,1
daneagle5,1295,3021246,1902,49,4750,3,1873070,4,2813,2968,1,1,5.6522e+06,2
dawie180,1575,1319766,80,0,230,8,1478270,3,1936,2928,1,1,1.3839e+06,3
deWengo,2382,1005446,1337,712,7660,5,2091610,4,2655,2841,303,90,3.39199e+06,2
deadeasy88,1077,557890,2001,136,10563,12,2030780,3,2321,2699,6,2,4.04868e+06,3
dekisugi,1326,1186500,2473,82,6232,7,1933560,4,3072,4112,2,0,4.65102e+06,3
demolter,978,1465599,1336,72,5163,6,2316050,4,2079,3157,63,34,3.05752e+06,2
deuces32,1176,1455399,825,120,9109,7,2058100,5,3049,3996,21,7,3.93623e+06,1
dh3lix-Pooch,1335,1006691,2417,97,11859,14,2834880,6,3962,3073,4,2,4.20203e+06,2
dk6hf,2024,1167743,958,82,5855,12,1591230,2,1072,1444,35,10,1.49841e+06,2
drakon333111,981,1809841,1385,1042,11112,20,2348450,5,5420,5818,7,8,7.35727e+06,3
dudesoup8,4071,1068373,1095,83,8261,5,2051670,4,2337,2311,75,13,3.14717e+06,2
duniek,1375,923757,1986,56,13066,5,1741300,3,3108,2458,1,0,4.61646e+06,2
eGe-Lechinois,1628,927177,3159,21,7593,1,2575790,5,3128,2017,13,3,2.145e+06,1
eddemegezien,1482,1677679,2994,170,25698,8,2192420,5,6010,4860,6,5,7.00034e+06,2
eist3ex33,2369,1102969,104,21,2630,472,1570420,3,2755,3138,6,0,3.73439e+06,2
engineeruk,1759,2172012,2004,106,6373,6,2489250,6,3503,3589,6,1,6.84322e+06,2
eppem,1126,1565135,2576,244,8179,10,2691720,7,3590,3497,2,0,5.41893e+06,2
erwson,655,1322595,2538,80,30946,17,2691970,5,4009,3722,2,0,2.64865e+06,2
evaair,987,1468443,646,124,7591,5,1615300,4,3758,5110,7,5,4.93161e+06,3
evgen1560001,1511,1936526,3941,231,10874,656,1353400,3,4980,4561,4,11,5.5599e+06,2
facKYLuke,1297,1612283,365,0,1134,1,3552740,9,1520,2246,206,70,1.30965e+06,2
fetjohan,1082,996252,1698,5,2784,1,1445000,2,841,3742,37,15,1.44755e+06,2
frogheartboy,1741,1306954,2594,228,11343,8,2563820,5,2980,2283,24,2,4.43421e+06,2
furyZotac,1530,1465971,2164,84,9467,11,2212420,5,4224,2577,15,9,5.81068e+06,3
gammelkrage,1285,1724997,4682,113,20920,7,2394260,5,3880,5907,0,2,5.23226e+06,2
generalrancor,671,1177758,454,0,2352,2,2404630,6,4568,3546,9,5,7.0415e+06,2
gesunTight,1567,743858,1021,114,4900,2,2146540,5,3313,3468,16,3,5.36019e+06,2
ghung1205,1366,1426301,892,130,7035,2,1460980,3,2645,2533,67,19,4.65353e+06,3
glicanear,1003,1483101,824,165,5567,4,1760760,4,2470,2475,22,0,4.45185e+06,2
goney02,1830,805734,1828,93,11427,9,1418740,2,1926,1796,216,51,1.78903e+06,3
gousi-jed,1501,1687674,1261,242,14804,13,2389600,4,4246,1970,48,8,4.15464e+06,3
gubbel_on_acid,1341,1312692,1156,47,17253,20,3108740,6,1599,2121,30,70,2.1176e+06,2
han61571,1388,1962249,2909,439,27610,32,2679260,8,6527,4659,9,2,7.40471e+06,3
hcfilo,2388,2470244,255,423,2541,1,2193810,8,2451,5157,0,0,3.52431e+06,1
heckenschuetze2k,1517,1271078,1328,25,5666,1,1974720,5,3288,3320,0,0,5.75369e+06,2
henkka00_,920,833714,3103,9,17082,10,2003950,4,5438,4684,0,0,8.30405e+06,2
hennorich123,1255,968523,3885,87,6622,3,1974240,3,2054,2141,36,10,2.24811e+06,2
hermann-v-hinten,1576,1085648,3944,0,12562,2,3457850,7,4471,3694,51,18,1.49845e+06,2
hhyox,1630,742924,3172,190,20073,16,2184880,4,3511,2905,0,0,5.58545e+06,3
hibikiwnenc,1011,1248485,2840,459,9030,5,1598530,3,3187,3050,3,2,6.06034e+06,3
hikaru1713,678,1234830,1280,98,7027,7,2874310,7,6187,2837,43,14,3.53492e+06,3
hilok83,1802,1328764,830,81,5489,3,2072230,5,2733,2917,6,1,5.3986e+06,2
hxsul,1079,936982,2136,15,17767,18,1771700,2,1379,2430,0,0,1.01165e+06,2
hypplarn,1364,2089248,406,22,4670,6,613856,1,2120,2734,0,0,4.55697e+06,2
iHaB001,2891,2039407,413,99,3140,1,2156120,6,4758,4529,4,3,5.39572e+06,3
illegalcolors,1208,1416305,1359,158,4377,3,2164730,6,4674,4592,3,0,6.38848e+06,2
imperator0815,1903,1095911,5377,3,26133,3,3849950,6,2645,2420,90,41,3.50015e+06,2
iwatenn,2244,1620977,3492,1221,24261,17,2715230,6,6040,3799,10,1,8.90836e+06,3
javichu52,1163,1397338,1555,102,8653,5,2144880,5,4345,3829,15,5,6.44504e+06,2
jaytripple,751,917182,2319,162,12413,11,2121750,5,4015,3081,0,1,5.83674e+06,2
jeffersons_wine,1169,997313,1512,493,13339,17,2802230,5,2740,1977,33,8,4.06996e+06,1
johnqin,2119,1118377,1452,79,12135,6,982983,2,1709,4750,22,5,2.71561e+06,2
juhta09,731,1167642,178,60,876,998,1313240,2,1577,3309,0,1,4.30695e+06,2
kaLu303,1191,721465,1933,56,10048,4,1460600,2,2730,2459,26,5,2.64568e+06,2
kakaskasmaka,1961,979482,1914,53,9239,4,2307270,5,2441,4382,21,6,3.57502e+06,2
kdr0001,1368,1442422,2959,131,17237,14,2287500,5,3818,3089,9,7,5.80301e+06,1
killkoooo,825,1568480,2653,240,9811,2,2152280,4,3250,3524,20,2,4.2065e+06,2
kilokilo2,1892,1211737,1780,108,8802,10,2360430,6,4472,3052,1,0,6.31413e+06,2
kone02695,1980,1133439,6241,1002,27757,7,4015900,10,471,672,1,398,1.65052e+06,3
koperkos,1075,561631,1512,5,11248,3,1231770,2,1844,1846,0,0,756245,2
kotbox,1248,1179327,2167,98,7753,5,2065680,3,2533,2573,12,0,1.1554e+06,2
kunyun19,1463,1087776,3456,89,11764,8,2120370,2,1684,2057,8,3,3.17598e+06,1
lBlurryFacel,1279,1544174,548,103,4807,5,2070370,6,4423,3951,50,18,6.31712e+06,3
la_sensu,885,1228300,2621,106,10785,5,2541240,5,3020,3306,8,1,2.99584e+06,2
laaza,970,1326118,3901,270,18365,15,2575610,4,2364,4229,7,17,3.97414e+06,2
legion_andrey,1120,1533970,1986,216,16802,7,2167920,3,2386,5572,7,1,2.36513e+06,2
leisertod1,973,1292792,3907,45,22258,3,2445680,4,1789,3208,3,3,3.29784e+06,2
lesley_88_nl,942,585920,2,0,22,10,1267560,2,1617,3439,31,11,2.10961e+06,2
lzy4202,870,1232945,282,37,2597,9,1499060,4,2210,3815,2,0,3.94174e+06,1
maaaaar1111,1457,1212754,482,30,3695,17,1561690,3,3723,4446,0,0,5.93004e+06,2
majikmushi,1384,1436952,2146,109,12945,5,2262100,5,4167,3346,15,17,6.50025e+06,3
makar4224,1365,2198851,2098,105,4750,8,2131340,3,3298,2375,1,1,4.77078e+06,2
malbubbles,1572,951834,3502,80,12409,8,2382510,5,2802,4253,26,9,4.33606e+06,2
mamojebac_st,469,586549,677,55,2117,1,1615310,3,3138,2354,8,0,6.49692e+06,2
marksta80,1015,1126872,3262,86,24186,4,2274910,4,2400,2534,45,24,3.40005e+06,2
mathiej2,1500,1007717,5995,192,22405,19,3148840,4,3526,2212,94,22,3.70331e+06,2
medic_pls_rev_me,1705,1355532,7114,1000,29038,4,2609430,6,3141,2726,0,0,4.78108e+06,3
mef_MZA,1251,868293,1823,87,8583,2,1780570,3,3973,2697,4,2,6.3364e+06,1
mekaminos,1406,1351203,828,1,5752,3,2220900,5,3516,3460,182,90,1.73651e+06,2
metalsurai-,1194,1491018,946,1472,1550,2,2143840,6,4616,5045,0,0,6.96275e+06,3
migue21_21,1056,1115246,3746,165,8094,7,2606750,6,3586,3155,50,16,5.47072e+06,2
minazoko,731,894929,742,2,1092,101,1619670,3,2619,2696,16,9,5.86284e+06,1
minosha87,1061,815883,1192,66,9360,1,2442060,4,1824,1563,345,79,1.5754e+06,2
mkis92,1661,1987867,3547,161,19520,8,2398000,6,4824,5428,29,21,4.77267e+06,2
mohamad_6656,958,1627227,251,60,4286,5,2210620,6,3340,2746,32,0,3.63299e+06,2
mugiwaranokuni,1330,1533704,1177,138,8553,8,1601040,2,2524,902,21,9,1.30007e+06,2
n4pl,3250,1068763,808,112,7321,2,2016430,5,2432,3958,9,2,4.13119e+06,2
n5332,1008,886087,2921,134,12996,5,1992580,4,3724,2604,111,49,4.67223e+06,2
nGlockeD,710,530192,576,14,1411,944,1296450,2,1299,2670,7,1,3.49905e+06,2
narblish,1221,681651,1099,73,4811,5,1476540,2,2103,2967,3,1,3.56942e+06,1
noFEARgr1,1217,875034,2125,84,3057,2,1652360,3,2085,4406,15,5,2.42137e+06,2
nystr0m,1183,1055941,1608,158,6357,5,2001660,4,1115,3538,35,24,597815,1
oORaMpAgeOo,831,1108284,2390,124,11908,2,1948500,3,1938,3606,16,4,2.79801e+06,2
oPURT,1835,2318847,847,357,8671,13,2849500,8,2989,3497,1,0,5.82507e+06,1
okkamagadu,1729,1493511,1351,0,2888,819,2932930,7,7392,4886,3,1,2.25791e+06,2
oonumadango,1282,1324472,5055,531,20710,4,1988140,4,4225,3893,0,0,2.76264e+06,3
papapayne,675,1460834,119,256,1263,19,2252680,5,4336,2298,0,1,7.21667e+06,1
pat_m0le,976,801128,2659,86,7268,3,2586010,5,3459,1740,5,1,6.62277e+06,2
pavul0n111,1713,1188257,3650,225,25395,10,1927180,4,2805,3279,1,0,4.35298e+06,2
pepupo80,1662,991407,1456,85,23829,10,2359110,5,1010,6023,1,4,635915,2
pg_owns,3351,1462123,421,111,6448,5,1750050,3,1365,3123,25,5,3.73023e+06,2
phuN,976,875869,2036,113,10111,3,1969530,4,4166,3902,4,0,5.27223e+06,2
poppiy12,918,909967,1849,123,8722,8,2302620,4,2621,2163,42,19,3.7796e+06,2
poupoution1,797,2718575,1728,15,1556,2,3174860,8,1497,2173,2,0,3.79259e+06,2
prop4in,747,1233782,754,29,7263,4,2220420,5,3362,4002,14,8,5.27991e+06,2
przemono96,779,922296,2268,71,18727,11,2117050,4,3045,2148,16,4,3.62441e+06,2
puneetdaddy,855,839557,312,54,1737,1,1997520,4,5027,3042,1,1,1.19658e+06,1
quintenQd,1108,699701,3618,204,23026,6,1969240,4,2616,2599,16,12,708735,2
ragorne1,1925,876535,2980,54,11582,1,1496680,3,2870,3236,0,0,4.34542e+06,2
rayodefogo69,2881,1673376,716,66,8058,13,2091740,5,2896,3745,7,3,4.42113e+06,3
re-don14,1284,1318313,2057,280,11211,8,3111220,10,4114,3644,0,0,5.54437e+06,3
recher243,1376,1010840,2274,100,11380,4,2497250,5,2704,2549,23,6,3.98435e+06,2
relyz,734,919609,1988,778,8518,4,1963520,3,2814,2805,16,6,4.12597e+06,1
sarbe9062,1191,1400625,1858,52,5048,10,2435150,6,3872,3200,8,4,5.18689e+06,3
schnakkbakk,754,1222568,4258,373,18859,4,2112080,5,3832,3432,10,1,5.31702e+06,2
seif_selmi01,1379,1302993,720,125,5129,10,1625250,3,2394,3147,0,3,4.16277e+06,2
sikbabba,849,1553966,1262,240,16217,22,2819400,5,4548,4001,19,1,5.71517e+06,2
sikte,926,1329510,761,363,8781,3,2133050,4,1682,2550,174,54,3.09301e+06,3
skyCYM003,2933,785549,1144,242,3858,2,1305080,2,2058,2344,27,4,3.61847e+06,3
slawcio323,1097,2354577,0,0,20,51,1038600,1,737,2389,4,1,3.49983e+06,2
snake-cgn,945,842911,2629,565,14068,9,2775980,5,2513,2271,160,51,4.5211e+06,2
squad-Caporegime,1180,826740,1011,224,7135,3,1997340,5,4389,2730,19,9,6.44692e+06,2
steelchiliboy,708,685433,1575,1009,7273,4,2052620,4,1497,2624,23,3,448545,2
steelerty8954,832,947870,8578,109,38007,217,2021060,2,3193,2874,0,0,5.18013e+06,1
straightupg814,1483,1503419,500,9,2970,12,1729520,4,3195,5216,11,2,3.73703e+06,1
strudelcumere,1219,936837,1293,137,6729,4,1807290,3,2960,2248,35,8,1.93579e+06,2
tarsap,888,832426,1832,131,10857,3,1541800,2,1477,2535,14,11,2.62837e+06,2
the_naked_ape,1013,943245,7274,49,37327,1,2312150,4,4043,2967,0,1,6.99823e+06,3
themadavenger,1351,1513627,289,13,1445,3,2065560,5,2286,3447,98,18,4.69034e+06,1
thomsenkilla,1040,894011,700,15,3544,1,1988300,5,4674,2478,10,5,8.08365e+06,2
tobizockt,1331,1046255,2076,138,7098,12,2798970,5,2275,2245,246,62,3.06933e+06,2
tomasz033,1562,1703493,236,90,6052,9,1949480,5,3557,2931,6,8,5.46313e+06,2
trademarkcain,1321,1047011,2043,80,18180,7,2315700,4,4019,2504,5,6,5.49816e+06,2
tzarx,879,1074326,4806,11,46823,4,2505350,5,3369,3988,4,0,4.56863e+06,2
uVe_17,4406,1487830,1103,99,4638,1,1851130,4,1640,3725,18,1,3.50567e+06,2
uden73,1087,1412216,2161,258,18265,11,1834160,4,3117,4150,9,2,4.64845e+06,3
ukiqurdiPL,1011,991182,2882,119,8694,6,2538160,5,2644,2177,23,7,3.96635e+06,2
varodk,690,1312835,912,59,3556,1,1549450,3,1648,3284,6,2,3.28067e+06,2
