Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
AnimalsArePeople,947,796836,1420,100,6160,2,1666130,3,2210,2479,89,25,1.79115e+06,2,796836,0,947,0,0,0,0
Animeshnik_Sergo,985,1108384,2863,45,10846,3,1859770,4,2123,3880,43,13,2.3568e+06,2,1108384,0,985,0,0,0,0
AnvarAx,975,1014920,112,166,843,13,1604430,3,3471,3452,1,1,5.4245e+06,2,1014920,0,975,0,0,0,0
Anzai_tiyomi,1597,1708128,3160,245,14316,20,2640450,5,5193,5700,29,27,6.59253e+06,3,1668591,39537,1540,57,90.9471,17.7553,6.97509
Aoba0302,1296,1372526,1346,17,4462,3,1659290,4,3255,3117,0,0,4.42625e+06,3,1371479,1047,1293,3,13.1308,9.7447,5.91729
Arengeta,718,855584,1849,66,6558,2,1681310,4,3361,3385,11,6,3.936e+06,2,852451,3133,712,6,20.5933,23.6354,6.78233
Armegedon85,763,834144,2339,75,7406,18,2622750,5,3130,2841,0,0,5.10184e+06,1,834144,0,763,0,0,0,0
Arr0wH34D,1371,1289413,2731,303,16470,5,3288420,9,5948,6563,55,18,6.14619e+06,1,1289413,0,1371,0,0,0,0
AstroCrusad3r,1197,1285020,1842,237,13563,2,1547620,4,4320,4240,4,2,503830,2,1285020,0,1197,0,0,0,0
AustinPD,2248,2202912,289,10,1755,330,2069110,5,1767,3087,1,0,4.81263e+06,3,2168698,34214,2197,51,83.3512,9.07821,6.09146
AydarUA,1646,1467197,749,185,3137,4,1829710,3,2320,2553,0,2,3.86978e+06,2,1452887,14310,1623,23,47.2007,9.45373,6.11909
Azret_Megalol,1433,1516056,2022,11,12532,4,1986830,5,3295,3208,79,52,4.58118e+06,2,1506636,9420,1424,9,30.0552,13.8672,15.3648
B00tybanditxxl,2227,1029761,2008,0,8001,125,3304270,9,7916,4857,1,0,2.40699e+06,1,1029761,0,2227,0,0,0,0
BREITSAX,1366,1057675,1066,64,12933,20,1844370,1,1470,1802,12,6,1.19234e+06,2,997206,60469,1277,89,128.107,2.0055,5.63881
B_TO_THE_MANE,972,865692,2266,61,8799,5,2028140,5,3902,2778,49,30,5.76677e+06,2,865692,0,972,0,0,0,0
Ba-Ba-Bambino,1781,1174036,2133,110,4764,2,1493020,2,1528,2207,67,24,2.10695e+06,1,1173595,441,1779,2,9.59623,0,3.49964
Bane_Swako,658,542094,306,12,772,832,1012270,2,589,2515,0,0,2.47e+06,1,541133,961,658,0,9.84571,0,0
Barbadus,852,779943,1485,89,7261,7,1690000,3,1578,2739,209,84,2.38715e+06,1,779943,0,852,0,0,0,0
Bazyliszq,892,902218,1137,152,7773,3,1450220,3,3082,2134,2,1,4.69421e+06,2,902218,0,892,0,0,0,0
Belegsul,1283,1437640,2693,5,6603,1,1744240,5,2504,3441,7,5,4.45682e+06,2,1437640,0,1283,0,0,0,0
BenderArmand,1156,1278254,2705,146,10952,8,2212010,5,3882,3813,1,0,6.63829e+06,1,1276007,2247,1154,2,15.0642,15.4809,49.2847
BlackAngels_H,1313,1628592,341,8,1701,17,2035310,4,3144,2721,7,2,6.37274e+06,3,1621071,7521,1306,7,26.5344,10.9354,7.33203
BlackDeparted,706,890506,1825,174,8690,5,1926540,4,2167,2676,5,2,3.75236e+06,2,890506,0,706,0,0,0,0
Blacktearsred666,869,1092187,1952,131,3835,3,2080390,3,1946,2448,4,2,4.49242e+06,2,1092187,0,869,0,0,0,0
Blazejump,817,830607,1253,25,2754,312,1828600,4,3940,4164,3,2,5.66594e+06,3,830607,0,817,0,0,0,0
Blissfultimes,1229,1138809,2805,203,10024,2,2119720,4,1786,2705,3,2,3.88383e+06,2,1119308,19501,1207,22,48.828,13.0344,34.9596
Bloons_that_Tanz,747,731045,1712,144,7152,4,1628990,3,2643,2792,7,10,3.62666e+06,1,709156,21889,728,19,46.8802,17.0389,32.7743
BlueFalcon85,755,748756,1083,50,3461,2,1597230,3,2194,2629,43,22,2.56877e+06,1,748756,0,755,0,0,0,0
BoWu_mit_Senf,1326,1744120,1245,102,9384,27,2104390,6,5353,5902,2,0,6.32599e+06,2,1743590,530,1326,0,8.07577,0,0
Bonebraker2,1320,1491048,990,201,4251,21,3148020,8,4181,2360,5,2,6.55927e+06,2,1491048,0,1320,0,0,0,0
BoxingPanther,794,596015,1781,57,12832,6,1737260,2,2333,1512,36,12,1.21185e+06,2,596015,0,794,0,0,0,0
Boyzabackintown,4371,2240169,657,66,3032,4,2185440,4,2951,2732,11,2,3.65284e+06,3,2224093,16076,4323,48,73.1569,0.40352,3.79766
BrainECrack,1152,710403,1462,99,5395,4,1706460,2,1495,1302,106,34,822560,2,710403,0,1152,0,0,0,0
Briku1,1171,1334296,388,96,1311,3,1027450,2,2291,3636,7,6,4.04979e+06,1,1326662,7634,1161,10,29.6316,10.0856,16.8844
Broth3r,1111,1258997,2587,216,7725,5,1924000,6,4083,5926,6,4,4.67745e+06,2,1258997,0,1111,0,0,0,0
Brrryyaaan,653,910401,968,51,2460,3,1274010,3,2195,3409,1,1,3.50699e+06,2,903074,7327,649,4,23.3651,27.7232,11.2808
Bulldawzer1,616,712512,3993,9,18420,9,2053680,4,3466,3415,3,0,4.89995e+06,1,712512,0,616,0,0,0,0
BulletF365,972,1123159,2,27,58,27,1641980,3,1600,2370,3,5,3.02369e+06,2,1102563,20596,956,16,43.3206,13.8789,7.1517
C0ldF1re,863,973100,1063,227,7997,8,1597200,3,3148,2444,43,2,4.22123e+06,2,973100,0,863,0,0,0,0
CCCCaesar,1516,1343015,1378,72,6270,4,1463770,3,1720,2577,5,1,3.0557e+06,3,1337295,5720,1507,9,26.8325,13.9805,8.95734
CHUCKPATRIOT,3784,2747021,2112,118,7348,4,6786620,15,8814,6826,18,9,1.43081e+07,0,2705240,41781,3717,67,101.577,15.6453,12.5996
CN-AJun-Felix,856,926978,1417,207,6805,4,1434590,3,2134,2754,33,15,2.66563e+06,1,926978,0,856,0,0,0,0
CaSh_894,791,1012753,2107,9,9274,3,1648740,3,2310,2894,0,0,2.08597e+06,2,1012476,277,790,1,7.50647,2.02608,4.72871
Capulet09,1006,1165179,4563,13,18576,3,2849370,5,3070,2829,6,9,5.65317e+06,2,1159490,5689,1003,3,20.8003,25.4644,54.8315
