Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Al3x-FD5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Alalex67,25,25476,10,19,318,0,75580,0,92,89,0,0,181820,254.3252,19.6299,20.415
Alcobrat,7,5308,38,0,147,0,22870,0,22,7,0,0,37150,224.3941,9.32392,33.5603
AlexisSky972,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
AliKSander,2,959,0,0,0,0,1580,0,0,0,0,0,0,211.8389,0,5.3016
AliasRaegiru,8,11825,29,0,34,0,20770,0,24,62,0,0,30570,230.7113,22.11,14.138
Alien006-Cow,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
AliveParadox,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Ambassador_G-Kar,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
And4TheWin,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Andreinuk,22,31775,133,0,560,1,86910,0,48,76,0,0,0,253.5642,11,38.9277
AnelAtNight,30,21231,1,0,114,0,43290,0,19,40,0,0,136290,157.5982,7.32299,9.16335
Anonymity07,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Anti-medic,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Antoine-_x36_-,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Antotha,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Apollo_Manyex,11,15338,30,0,146,0,75870,0,27,35,0,0,0,235.7663,11,25.1131
AraoxSVK,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Archikuuus,23,31441,160,18,204,30,99310,0,96,111,0,0,-2.68211e+06,254.4533,0,25.1058
Arcueid-P17,46,36919,0,0,0,0,108780,0,200,160,0,0,-1.01835e+06,079.1814,0,6.97287
ArghhhFreshMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Arhmadon,5,7748,0,0,0,1,46600,0,16,45,0,0,28820,224.7288,25.0525,9.82548
Arlequina-HQ,5,5012,38,0,166,0,22490,0,13,9,0,0,3.10313e+06,322.0649,85.8485,48.1895
ArmyTaz,42,15090,69,0,165,0,33240,0,28,4,0,0,9230,166.6322,1.3791,10.3033
Arqueliomp,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Arshnart,19,9852,2,0,0,0,41220,1,45,20,0,0,592605,240.3719,22.7185,6.82441
Asakixx,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Ascentt,27,22657,0,0,112,0,48080,1,20,33,0,0,101900,355.2022,6.31368,10.4954
Ask-Magic-Conch,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
AssAssins_w33d,28,23672,15,4,244,1,103870,1,50,45,2,1,4.05433e+06,256.6167,105.924,16.8039
AssasinsWeed921,32,18387,20,0,62,1,52620,0,44,61,0,0,-2.05787e+06,258.3077,0,8.3676
AugustStrindberg,18,21904,3,0,19,0,63490,0,48,156,0,0,-1.26318e+06,245.8865,0,8.7064
Aviathor,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
AvrelianTit,4,3570,0,0,0,0,5910,0,12,9,0,0,30850,219.2419,11.1192,6.19934
Awarius,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Azrail11998888,15,13337,18,0,86,0,44810,1,48,29,0,0,67690,238.6398,12.2822,13.3928
Azulamaniac,5,3910,0,0,0,0,11010,0,4,8,0,0,0,220.7107,4,6.85022
Azure_ron136,33,32185,0,25,0,1,80280,1,35,78,0,0,337230,364.6992,15.9353,7.02249
Azusao,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
B0VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
B1ackM4mba,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
B4ng_a_B0ng,18,6397,3,0,0,0,6440,0,0,2,0,0,0,236.5093,0,4.34677
