Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Brrryyaaan,649,903074,962,51,2450,3,1262770,3,2170,3381,1,1,3.4573e+06,2,903074,0,649,0,0,0,0
Bulldawzer1,616,712512,3993,9,18420,9,2053680,4,3466,3415,3,0,4.89995e+06,1,712512,0,616,0,0,0,0
BulletF365,956,1102563,2,27,58,26,1600120,3,1555,2308,3,5,3.00009e+06,2,1078845,23718,936,20,48.6353,9.77119,6.85876
C0ldF1re,863,973100,1063,227,7997,8,1597200,3,3148,2444,43,2,4.22123e+06,2,973100,0,863,0,0,0,0
CCCCaesar,1507,1337295,1378,72,6252,4,1442680,3,1703,2536,5,1,2.99778e+06,3,1328743,8552,1497,10,30.3882,2.40897,12.5474
CHUCKPATRIOT,3717,2705240,1952,118,7093,4,6659500,14,8694,6648,18,9,1.40544e+07,1,2662979,42261,3666,51,85.7087,15.1529,11.9581
CN-AJun-Felix,856,926978,1417,207,6805,4,1434590,3,2134,2754,33,15,2.66563e+06,1,926978,0,856,0,0,0,0
CaSh_894,790,1012476,2107,9,9274,3,1648240,3,2309,2894,0,0,2.08555e+06,2,1012476,0,790,0,0,0,0
Capulet09,1001,1154937,4518,13,18435,3,2813280,5,3046,2795,6,9,5.55976e+06,2,1132449,22488,986,15,43.1319,21.8382,25.9912
Cardboard_Manx,1301,1878589,2108,389,14769,14,1329650,2,1292,4079,0,0,290700,2,1861792,16797,1293,8,33.5271,18,9.00599
CeMoLi09,894,872451,970,93,4034,1,1448270,3,2728,2574,32,12,4.58778e+06,2,868437,4014,882,12,27.8486,11.4141,6.08387
Ceffster777,1234,1171636,2527,153,9489,10,2001690,3,2485,1831,0,0,4.65136e+06,2,1154080,17556,1215,19,44.9056,10.418,52.0593
Chackallll,930,1086370,1268,182,8345,3,2141090,6,4743,5453,0,0,6.71645e+06,1,1086370,0,930,0,0,0,0
ChefExecutifDCAP,724,707203,594,101,1568,1,1582960,3,1416,2559,9,0,1.8703e+06,1,687975,19228,703,21,47.7024,13.0181,10.4136
Chmeee,587,603650,1043,53,4999,4,1307520,2,1667,2356,36,14,2.17188e+06,1,603650,0,587,0,0,0,0
ChoxieSekurai,738,890043,3363,101,12900,3,2496530,7,3212,3967,4,0,3.87926e+06,1,888693,1350,732,6,17.0256,20.491,8.43324
ChumBucketDeluxe,982,1229080,2848,46,11445,2,1752720,4,3456,4392,3,1,4.82732e+06,1,1220666,8414,973,9,29.278,14.9672,17.7711
Clanck86,2157,1219586,1597,191,11246,6,3930310,10,8788,3088,8,6,2.1498e+06,2,1207809,11777,2140,17,39.6806,16.6413,19.7108
CloudTiger88,2388,1058824,56,0,443,1,636303,25,49,24,0,0,11485,2,1056376,2448,2381,7,20.4423,0,3.26039
Cloud_n_em,1122,1311374,909,238,15203,2,1626900,4,3177,3186,1,0,5.70949e+06,3,1308076,3298,1109,13,27.8449,10.0001,23.118
Coconutmonkey13,1551,1673105,2138,373,11505,7,1930860,4,2682,3740,13,10,4.70582e+06,1,1673105,0,1551,0,0,0,0
ColMooncheeze,693,843892,2566,33,8968,8,1836560,4,3784,5010,9,5,5.72513e+06,1,843892,0,693,0,0,0,0
ComeTooBesiktass,1050,1017838,99,57,2394,8,1736080,3,2542,2377,10,11,2.04011e+06,2,1004259,13579,1035,15,38.7818,12.5022,6.72142
CoolP1ggy,775,708964,3133,246,18287,5,2014650,3,1893,2077,43,22,2.40636e+06,1,708964,0,775,0,0,0,0
CornedBeefQueef,746,741046,2156,142,12179,3,1293970,2,2333,2988,1,2,1.75279e+06,2,722788,18258,732,14,40.246,20.1059,7.42962
CosmeticOrange,687,687955,1317,6,5494,3,1581280,3,1541,2445,16,5,2.14733e+06,1,687955,0,687,0,0,0,0
CosmicDusk,529,475609,750,21,1994,1,801514,1,1363,1961,2,0,2.62978e+06,3,475609,0,529,0,0,0,0
CptButterCake,851,710273,1847,57,8000,6,1508940,2,1835,3405,68,22,1.37477e+06,2,710273,0,851,0,0,0,0
Crazy_horse101th,1306,1154733,1568,238,14225,15,2471530,4,3125,2019,19,12,2.40092e+06,2,1142419,12314,1289,17,40.0199,11.6371,7.56836
Cre4tor11,770,781367,382,127,2298,2,963043,2,1200,2209,9,7,2.25227e+06,2,781243,124,770,0,4.97863,0,0
Crimson_Ghost,830,1014667,1036,73,8031,14,1574860,3,2393,6123,0,0,3.65223e+06,1,1014667,0,830,0,0,0,0
