Username, Activity Index, Teamwork Index, PTFO Index, Region, Sent Friend Request, Accepted Invitation, Sent Message, Replied to Message, Applied to Clan
ArteBionico,619.002,6.51338,3.00951,2
dk6hf,574.622,20.2967,23.6987,2
anton197866,452.392,7.99635,3.51408,2
poupoution1,348.237,7.80386,25.0357,2
Zivotinjica,327.437,10.8393,0,2
_SRB_cevapcici_,312.238,14.2776,24.6006,2
BlueCelticPagan,292.803,7.90202,12,2
MrKuznets,284.282,7.95129,1.16822,2
tzarx,269.709,61.7146,0,2
HoRRoR2410,264.849,10.8964,41.2686,2
zardashti,259.749,6.92571,25.9987,2
Nos79PL,258.147,16.5241,37.3095,2
KGB_Shelepin,252.495,5.81703,18.9332,2
FantasyGensokyo,243.476,20.6806,0,2
CaccaBlu44,238.285,21.9977,1.20342,2
Mangoglen,230.613,21.3305,21.5097,2
neusiedl9,229.419,8.83599,20.3484,2
slawcio323,228.475,4.07224,19.2558,2
hypplarn,224.571,8.04984,15.9633,2
conny63,218.962,5.91487,0,2
JohanOlofsson,216.545,6.21916,23.1523,2
kabelimats,211.625,12.3604,13.2752,2
JoeBlack1111,203.37,6.90174,6.50375,2
evgen1560001,198.502,4.18994,22.2423,2
tomasz033,189.333,7.69408,23.83,2
SpionageTripper,189.111,12.8742,18.2614,2
wolf63pl,187.14,8.04464,7.83865,2
MetenetBF1,183.16,5.44654,13.1846,2
daneagle5,183.119,5.34141,16.9651,2
Todesmutig,180.78,27.3123,42.8925,2
IheedThyCall,179.062,10.8118,0,2
NeronCaesar,177.867,31.1242,29.1706,2
Slimp003,173.11,29.0301,43.1033,2
dido9721,172.95,61.8384,27.5144,2
Toecutter63666,171.85,8.45391,26.7437,2
SneakyPlG,168.519,16.9002,36.1001,2
Clewhie,167.728,4.03544,16.1578,2
wellhard68,167.608,4.10876,0,2
NakedFamousMike,166.198,7.27152,17.0427,2
Revlotion,162.761,7.99267,24.6122,2
mugiwaranokuni,162.648,5.57215,0,2
johnnybuda,162.071,36.2979,30.871,2
Todd79,161.578,24.618,17.6396,2
VitoLucchesi,160.137,36.9046,14.4082,2
gubbel_on_acid,155.833,15.9312,9.0253,2
Kurkii,155.775,36.4048,56.8601,2
Xepburn,155.444,10.193,11.7227,2
PGabka77,155.385,11.383,11.7343,2
Thundercate,154.986,6.96327,12.1335,2
mathiej2,154.111,19.5649,25.6715,2
kaLu303,154.085,31.5516,22.1663,2
demolter,153.183,8.93571,17.1403,2
Androga1,151.34,17.5556,45.1394,2
Llkker_Alpha,150.98,33.4101,15.7631,2
Shilhiad,150.875,21.3829,13.4163,2
pat_m0le,150.037,13.8571,34.8879,2
BlackScorpioSRB,149.89,8.91841,18.3943,2
Mjudas94,148.322,18.7181,21.6735,2
Ukekkonen,147.993,12.6751,29.3254,2
hilok83,147.016,10.7783,23.3753,2
r3demptor,144.196,31.1698,45.8882,2
la_sensu,143.339,8.66472,14.2145,2
juhta09,141.747,6.51988,23.8187,2
asekas69,141.122,17.7303,0,2
Hiboo666,140.456,80.4048,19.8916,2
Michel445,139.474,24.2905,29.7827,2
Priester_81,138.704,19.3767,31.4483,2
CptnObvius,137.914,25.3723,17.9189,2
cpD3ath,136.158,19.4972,14.8671,2
old_healer,135.093,11.7719,10.0424,2
Ololo_ololoev,133.89,14.6991,11.2331,2
addmaster1982,133.263,23.3308,17.8081,2
Atamen,132.811,5.68971,8.03236,2
ProMMR,132.522,16.209,36.6046,2
IIAugust,132.438,8.32159,34.7884,2
Blitzern_,132.32,7.98236,7,2
14_LeoNiDas_53,131.951,13.9252,6.69543,2
Anibal_Smith-O_O,131.238,10.3146,18.3083,2
biniu44,130.955,17.0405,17.9942,2
Osswald0,130.837,8.00146,25.3026,2
Metalhead543,130.509,13.9066,0,2
OoMILADoO,130.313,7.39549,16.9615,2
MRT803,129.857,34.332,12.336,2
HugoStiglitzUK,129.295,6.52798,21.4255,2
VitaliusUA,128.692,8.64265,0,2
tobizockt,127.996,20.9417,3.66963,2
TheBlanquillo,127.931,17.9562,22.8987,2
lafizy,127.643,12.5592,0,2
laaza,127.368,12.5645,11.613,2
DrErn,126.646,10.6684,24.8189,2
The_Donatello,126.538,11.3383,21.6356,2
SIGINT_SIGKILL,126.236,21.6734,36.716,2
MONKEYsREAPER,125.837,0,5.20532,2
SNAPSHOOTER640,125.766,9.62295,7.74192,2
chr23k,125.225,40.4424,10.4989,2
BananaKalli,125.015,15.1708,15.3861,2
KALLIAMOZILA,124.763,4.96769,0,2
yxill,124.428,7.84477,29.7771,2
ric85bo,124.157,17.5277,10.9382,2
mamojebac_st,122.863,11.44,38.2076,2
Kims1x,122.693,19.8911,16.5262,2
Huawusch,122.521,26.7743,33.6271,2
Drachirswe,121.498,24.6734,21.9099,2
Allrixas,120.354,2.51487,0,2
tarsap,119.757,21.5591,28.1552,2
AgARedScorPion,119.623,9.39342,0,2
CLUB-magenta,119.184,6.40978,18.6035,2
CrazyrabbitXXL,118.988,13.4539,9.90093,2
Muckinger,118.454,38.6321,19.3924,2
Ekanimo,118.192,6.53426,2.99729,2
imperator0815,116.874,36.5392,14.585,2
88Freisler,116.649,8.43086,30.3157,2
DEOLHOEMVOCE,116.247,11.3403,12.5846,2
kilokilo2,114.954,15.6401,16.5496,2
TeTn-tVerzet,114.906,24.4174,26.296,2
oORaMpAgeOo,114.453,33.51,13.0465,2
MrTinuZ,113.629,18.318,16.9853,2
WebOfDoom,112.775,59.1482,26.963,2
Jorg_Kasirske,112.341,12.2782,16.5059,2
eppem,112.089,15.8642,20.1139,2
kotbox,112.019,17.6784,11.7631,2
Matt-666-Damon,110.453,21.664,6,2
Zaveidister,110.018,9.72635,4.31068,2
Un1t3d_Iskariot,109.484,13.6389,15.9189,2
huskylux,108.215,12.3472,15.763,2
Mastersword01,107.867,10.8323,23.5252,2
CrazyNurse77,106.166,19.3866,24.5448,2
SPEEDSTER1000000,105.893,15.2541,0,2
n4pl,105.668,8.89187,13.7089,2
Amujohns,104.896,12.8296,0,2
L5E_ToCh,104.594,16.904,27.3891,2
yelabd,103.967,10.0626,33.759,2
MrBlackPudding,102.696,20.7786,24.0617,2
Pozitivchik686,101.911,7.28723,7,2
SZCZ3457,101.888,26.2769,15.6641,2
LordF_L_3_X,101.732,27.9514,13.0227,2
MarcinnW,101.346,6.64606,27.6885,2
squad-Caporegime,100.776,23.235,29.2312,2
erwson,100.718,24.9388,21.0814,2
SnabbsterFile,100.052,19.3059,20.7122,2
Futzi61,99.5485,5.12336,6.82759,2
AlbaniaNimmortaL,99.1886,10.7981,0,2
Chick-in-Danger,98.2944,22.3965,18.0633,2
XHausBogenX,97.7447,22.7738,13.318,2
Tschonadhan,97.4443,17.1993,13.8345,2
Aldrian77_FR,96.9724,14.6941,12.663,2
Ghost_8231_,96.6631,16.2776,11.7922,2
HauDieMau,95.3966,9.50085,11.7082,2
CuoreCriminale,94.7562,31.5239,0,2
Jucaushu,94.6103,20.8018,22.3744,2
8BitNates,94.5062,25.3478,22.4217,2
UDT-Raptor,94.3686,8.40312,11.0913,2
Nuck_Chorris37,93.7791,4.66354,1.9674,2
koldino79,93.7157,39.796,25.2834,2
varodk,92.2489,11.8771,10.0034,2
trademarkcain,91.8962,9.27557,0,2
Adanmarsan,91.7927,6.96565,0,2
Kratoo1982,91.6905,7.53426,9.80515,2
znameniti,91.4507,8.32823,0,2
mekaminos,90.9462,7.53963,0,2
seif_selmi01,90.9276,6.39071,15.4505,2
SG_Marian,90.9045,8.80545,10.1237,2
okmjjx,90.8489,5.41533,1.7867,2
MEI_Mejrom,90.5585,21.9437,16.3141,2
ReadyOrDie,89.5949,9.3174,16.3321,2
X_Long_Johnson_X,89.505,41.5429,4.11252,2
mxxlele,88.9383,7.98831,15.1878,2
VladNosferatu,88.9315,50.0498,12.7859,2
noFEARgr1,87.9318,8.40312,17.329,2
Chill_Schweiger,87.7413,18.1802,15.1908,2
AscarX09,86.9724,13.6175,21.2581,2
Tarkus8,86.4454,71.6537,28.8151,2
engineeruk,86.3509,6.44928,0,2
MariusBRL,86.1051,12.3798,23.4245,2
Dwemerlife,85.6374,8.63154,20.4925,2
frogheartboy,85.4404,14.3773,0,2
Embi90,84.6316,24.4663,14.0551,2
Pr1ck3r,84.0802,6.46507,0,2
King_Timp,84.0218,7.46599,0,2
ooDestroyer93oo,83.6636,18.3617,10.0341,2
Gunslinger1973,83.5529,6.64855,0,2
warface46,83.3683,20.7754,8.22764,2
RPGustl,83.2671,16.2383,20.2451,2
camrule,83.1393,21.1599,0,2
ukiqurdiPL,82.6126,30.9292,17.338,2
SzklankaMoczu,82.5924,11.6723,12.178,2
Martin_Katovitz,81.9095,42.168,0,2
Ni4k-Ni4k,81.6128,7.18091,18.3525,2
TacOp280,81.2023,10.9217,0,2
Nevoto,81.1394,9.25863,16.3507,2
Bundyland,80.6315,31.7662,4.11468,2
P4nzerGren4dier,80.4933,19.2645,7,2
bumpifobic,79.5017,13.9618,7.97903,2
BAL_N3M3SIS,79.2305,12.5942,12.0681,2
MANOVBGS,79.0081,17.017,22.7155,2
inox40,78.5826,7.37292,18.3359,2
TribunSoil,78.3828,27.6922,8,2
m0Jlevi4,78.0714,8.5865,7.09027,2
NordicMarius,77.9242,24.975,15.3733,2
zato_iczi,77.4926,10.3413,5.19756,2
Maroi13,77.1061,6.90554,7.42548,2
recher243,76.7506,16.7189,15.8712,2
B1C4A12,76.7192,32.2853,30.2674,2
ZULA35,76.3076,6.9402,20.9186,2
Xiphoideus,75.8785,30.8972,20.2793,2
mohamad_6656,75.8753,15.8619,0,2
HaX_Voolgar,75.8589,8.21576,15.0498,2
ArchieGoodwin45,75.7124,9.19934,13.2242,2
SweetSH,75.5836,25.7897,12.0403,2
BIGHOTTODOGU,75.5011,56.5839,0,2
Creisi,75.4506,18.7124,10,2
janus1974,75.327,7.58101,8.60788,2
migue21_21,74.9665,26.7863,14.7341,2
STALOWY1985,74.2968,11.8471,25.1123,2
0bock,74.1747,28.9765,20.5634,2
huehnerhugo,74.1454,28.6828,10.1569,2
chiquita333,73.3192,16.8023,0,2
BruLee-91,73.1454,53.3447,15.4913,2
PotatyhkiN,72.8478,7.45934,0,2
Protector__334,72.1645,15.6683,23.0514,2
B0otyMain,71.9212,7.79352,26.3094,2
fetjohan,71.7112,22.5294,9.72633,2
Sminkiottone,71.305,23.5372,24.9977,2
Tajgrr,71.0333,20.0297,7.97172,2
NCOW001,70.6406,8.83774,10.1917,2
DerJimez,70.306,15.1089,20.3206,2
hxsul,70.1846,11.5953,0,2
Abraham497,70.076,14.4369,9,2
Kiwi_BE1731,69.8052,8.19619,11.1241,2
illegalcolors,69.7854,8.75897,14.6342,2
dddddimon,69.6353,9.3974,4.11622,2
Kesebrot12,69.2244,7.92824,0,2
legion_andrey,68.1952,34.3959,0,2
AK_Alexx,67.2301,10.418,16.1473,2
Snuppy-Cz,66.8186,21.1301,13.517,2
Adje1965,66.7359,0,0,2
Supremex11,66.4072,7.57949,12.3371,2
nGlockeD,66.2768,0,0,2
Sheepoi,65.6717,12.2323,20.7181,2
EExcitingg,65.587,10.7041,14.2402,2
sikbabba,65.3187,5.79146,2.85542,2
AngryM13,65.2932,20.8637,11.883,2
Dzinnwet,64.7128,7.67146,12.3727,2
Yeru888,64.0468,15.8972,0,2
Bauernsau666,63.8482,12.3149,0,2
Ammar151999,63.6857,41.7876,0,2
Deathpoool,63.5906,6.98464,7.95277,2
ANTILOP3x,63.3407,11.085,0,2
Ha7dkov,62.5118,6.04803,6.4141,2
Frier_PL,62.1844,16.5136,11.6518,2
Ulpia_Victrix,61.5884,22.3088,8,2
Spelimies,61.4523,20.1991,23.3239,2
Boeserketchup,61.3691,8.76059,7.16365,2
AnaHajarajanaan,60.8503,45.618,0,2
MARMAK_cz,60.6742,13.5306,19.2465,2
LoshpenMarko,60.6608,20.5504,23.8407,2
Smith8391,60.6065,13.2285,8.81956,2
OOT-BigJoe,60.5465,18.9417,11.7612,2
frank186,60.4264,15.0512,18.296,2
vetall_zp,60.1736,6.85177,13.5958,2
Rastapaedic,59.7426,20.5786,11.4299,2
On3S1ckBas7arD,59.5253,23.4424,12.0053,2
