Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
Alien006-Cow,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AliveParadox,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ambassador_G-Kar,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
And4TheWin,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Andreinuk,41,54717,133,0,560,2,133640,0,73,138,0,0,0,2,78.8264,10,23.5556
AnelAtNight,30,21231,1,0,114,0,43290,0,19,40,0,0,136290,1,57.5982,7.32299,9.16335
Anonymity07,2,2382,3,0,6,0,2070,0,10,6,0,0,6680,3,15.3205,16.2844,9.67199
Anti-medic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Antoine-_x36_-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Antotha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apollo_Manyex,24,29244,64,0,351,0,101180,0,74,70,0,0,1450,2,54.7037,12.0747,25.0575
AraoxSVK,6,6916,3,0,1,0,12280,0,25,18,0,0,48340,2,24.9964,15.6806,6.72553
Archikuuus,48,60888,275,66,683,-927,195130,0,203,196,0,0,482290,2,87.1967,29.8205,9.98482
Arcueid-P17,68,53675,76,0,134,0,134960,0,276,217,0,0,293754,1,105.585,22.7493,9.67399
ArghhhFreshMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Arhmadon,15,20429,10,1,29,1,55140,0,52,95,0,0,58730,2,42.2466,21.0057,9.78653
Arlequina-HQ,17,11020,44,0,185,0,29300,0,31,29,0,0,3.10987e+06,3,39.1843,85.0063,19.4428
ArmyTaz,74,26601,106,0,291,0,46360,0,66,25,0,0,20970,1,103.75,2.79026,10.002
Arqueliomp,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Arshnart,28,14746,2,0,2,0,52320,1,76,47,0,0,600225,2,52.4438,24.9172,6.57422
Asakixx,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Ascentt,27,23007,0,0,112,0,48230,1,20,33,0,0,101900,3,55.3465,6.31368,10.5009
Ask-Magic-Conch,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
AssAssins_w33d,30,26876,28,4,362,1,107910,1,53,48,4,1,7910,2,59.8523,6.33047,20.7444
AssasinsWeed921,35,19636,30,0,81,1,53580,0,44,61,0,0,-2.05787e+06,2,61.8897,0,9.25422
AugustStrindberg,18,21904,3,0,19,0,63490,0,48,156,0,0,-1.26318e+06,2,45.8865,0,8.7064
Aviathor,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AvrelianTit,7,6812,0,0,0,0,8430,0,24,21,0,0,46460,2,25.9008,13.6212,5.89056
Awarius,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Azrail11998888,23,18140,33,0,193,0,55130,1,68,43,0,0,152295,2,49.1894,13.7857,15.9964
Azulamaniac,12,11479,0,0,1,0,21890,0,17,16,0,0,4000,2,34.4879,5.18085,6.53516
Azure_ron136,33,32185,0,25,0,1,80280,1,35,78,0,0,337230,3,64.6992,15.9353,7.02249
Azusao,14,12108,23,0,153,0,37840,0,53,62,0,0,92600,3,36.8909,19.0365,19.2098
B0VEN,0,52,0,0,0,0,0,0,0,0,0,0,-4.49432e+06,2,3.7276,0,0
B1ackM4mba,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
B4ng_a_B0ng,18,6397,3,0,0,0,6440,0,0,2,0,0,0,2,36.5093,0,4.34677
BATYMOBYL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BDentos,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
BF1IOS10,52,43724,5,10,14,0,18430,0,82,61,0,0,3.50513e+06,2,87.1043,92.2227,4.33761
BF_Zaizai_TwT,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BHS-Alexyjeff30,35,33302,14,0,28,0,31680,0,68,96,0,0,4.44019e+06,2,67.0614,117.784,6.48482
BJ-Guerrilla,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BOSSZTC,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BOT_haru,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BT-Suzdal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BacKeRz_Strike,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Battle-Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Beema6,19,14110,34,0,70,0,19730,0,22,22,0,0,31370,2,43.0875,5.1362,10.6761
Bigboyjaya,64,59777,0,0,1,0,52720,0,60,52,0,0,152805,3,102.957,7.80039,5.35612
Bios_Black2,30,26196,0,0,0,0,38600,0,94,76,0,0,140300,2,59.5987,15.4393,5.98839
Birch81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BkStyle0w0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Bl4ck5um,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
BlackNoise888,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Blakk-Said,22,20168,253,0,900,0,171540,0,53,163,4,2,-52980,2,49.1302,0,61.3968
Blavioo,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
BlazianNinja,1,1318,7,0,36,0,1526,0,10,6,0,0,11200,3,11.9378,32.4505,49.2501
BloodyLouver,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blumava,44,26693,174,0,425,1,88150,0,94,68,0,0,-1.33811e+06,2,73.7845,0,19.6899
BokChoy_FawkBhoy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Boleylix,25,19433,99,0,363,0,73390,0,56,35,0,0,-210570,3,51.7969,0,25.3604
Bratzpoemper,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
BrewdudeBrett,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BtK-MVP-Aargo,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Budokai1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Buehuu,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bulletproof956,2,989,0,0,0,0,1460,0,4,2,0,0,-6.2895e+06,1,11.9403,0,5.19793
BulliesWatchOut,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
BumpyPumpy,30,29018,19,0,47,0,74630,0,86,114,0,0,229870,1,60.6244,19.9825,9.06186
Buttnubs,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
C0GO,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CCAVppap,22,25543,1,0,25,0,40300,0,41,70,0,0,77950,3,51.3509,12.5951,7.54142
CK_Tirpitz,15,5908,0,0,57,0,9460,0,0,0,0,0,0,3,33.0256,0,8.00997
CLLRostocker,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CLMann,8,7116,0,0,0,0,6800,0,12,37,0,0,40800,1,27.1776,13.4412,5.39951
CMDR_Epico,17,16362,101,18,356,0,75800,0,52,57,0,0,121880,1,42.3051,15.9028,35.1712
CN-wushen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COOLESTDUDE1995,12,13625,38,0,150,0,29260,0,38,42,0,0,-2.7815e+06,1,35.8086,0,22.0268
CalibeR93,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CalibratedCore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CallMerLg,1,1112,0,0,0,0,1060,0,3,2,0,0,15500,3,11.336,10.6024,5.70593
Cantaloupe4d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CaptGB_NZ,22,21753,0,0,5,0,73650,0,75,34,0,0,5.70769e+06,0,49.8224,146.58,7.60613
Captain-JemBoy,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Captain1709,4,2955,8,0,29,0,7120,0,2,5,0,0,26000,2,18.3118,3.95909,15.4954
Capturetall,87,92548,0,0,2065,3,191980,1,161,121,0,0,157882,2,132.061,10.9463,29.8533
CaraHueca,95,40437,151,0,565,1,73140,0,17,9,0,0,35070,2,129.202,1.25668,12.266
Carl111_pl,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cesar_Wann_III,24,9493,19,0,68,1,10590,0,0,0,0,0,0,2,45.1094,0,7.58258
Cheesy_Mushr00m,6,5855,16,0,96,0,16650,0,17,19,0,0,90040,3,23.9716,14.9598,25.258
ChefKritikal,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ChellyFam,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Chemtrailer500,26,31597,0,10,102,1,56260,0,88,44,0,0,187150,2,57.5052,15.7812,10.8197
Cherysaor,85,88716,3,5,7,1,10680,0,9,108,0,0,326690,3,129.431,11.6488,3.3437
ChiII4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chideo,3,3064,0,0,13,0,3730,0,9,11,0,0,17570,2,17.4855,13.6741,9.93769
ChilliFart,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ChillwindL,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Chipziz,38,41749,78,0,1722,0,132540,0,141,208,0,0,249040,2,72.5681,25.5161,54.6845
Chopbeef,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Christiantrooper,13,11623,12,0,3,0,21390,0,25,46,0,0,0,1,35.5814,10,7.36856
Chub_and_Tuck,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ChucKy-JaGer,34,37878,63,0,225,0,119690,1,145,156,0,0,278910,2,67.4659,25.3415,15.7026
Clanlesscav1,42,42837,35,0,31,1,65450,0,110,66,0,0,247100,1,76.8655,15.4622,7.28264
Climax233,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CliveWarr3n,1,1419,0,0,0,0,1690,0,8,5,0,0,6100,1,12.2101,26.2624,6.41168
Cloudy_PL,6,6152,0,0,0,0,9960,0,20,7,0,0,14660,2,24.2702,9.57308,6.38303
Cman_BE,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CodenameMaulwurf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Condesces,15,15659,46,0,297,0,36220,1,69,60,0,0,186470,1,39.9377,22.7619,29.0095
ConkerBollocks,8,9264,7,0,43,0,27870,0,28,19,0,0,70550,1,28.9384,13.3698,13.6822
CoolTrekking,63,63085,219,0,398,0,183630,0,272,183,0,0,640590,2,102.662,31.967,16.3472
CorJonas,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cornelius_MM,64,55693,237,13,485,1,136760,1,136,130,0,0,0,2,102.05,8,17.7983
CoyoteBR,53,56937,0,0,0,11,129020,1,172,261,0,0,-3.79363e+06,0,91.3307,0,7.02393
CptColonoscopy,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CptCupcake63,56,60708,224,29,980,1,156380,0,83,161,0,0,3100,2,95.158,8.1446,29.2691
CptPillowBiter,2,2435,12,0,15,0,6730,0,3,5,0,0,6850,3,15.4185,8.29085,20.6163
Cpt_Neroxion,14,14178,0,0,28,0,6200,0,12,66,0,0,3.38932e+06,2,38.1261,95.5294,6.58517
Cpt_Ph4sma,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cralens,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Crang1980,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Crazyking1170,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Crazysounds,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CreamyOperator,4,1441,0,0,0,0,1310,0,1,4,0,0,0,1,15.2677,2,4.25243
CropDoctor301,20,20576,0,0,0,2,67170,1,96,55,0,0,5.437e+06,1,47.3117,146.466,7.61237
Cxswdarry,29,30257,4,8,36,0,76560,0,50,161,0,0,3100,3,60.0538,14.1446,8.16805
CyCoLeS1972,40,45255,0,0,0,1,73290,0,53,94,0,0,-5.28171e+06,2,75.5089,0,6.54231
