Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
NAILOR-83,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NERD_MODE_lONl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NL73schietdammer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSSC1895,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NTrax73,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NWG_OmariusPrime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nabetse_zitro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natter50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Neamtu85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Necrocide777,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Need_ammo_MEDIC,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Neothedoctor,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Nhilista,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NiceMedic,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
NickelBF,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NineLifDemonCAT,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Nivorius,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Noobshow007,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NordicThunder88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Not-Your-Dad420,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Not_Sure_666,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OPTIMUS-GOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ObscuraR3ligi0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Odds1979,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Odontolyticus,1,920,2,0,8,0,1350,0,0,0,5,0,4975,2,10.7038,20.2192,16.0615
OmniXacius,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OmniZeroHour,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OnlyNeedJuan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Opa_geitjefox,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OpenMind23,1,1339,0,0,0,0,730,0,8,12,0,0,-1.26316e+07,2,11.9956,0,5.19793
OpixRusVrn,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Osy_Eclipse119,8,4856,6,4,39,0,11060,0,9,25,0,0,33230,1,24.8862,9.19691,12.0972
OwNLY_HFA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Oz_Menog,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
P1gwood,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
PATRlARH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
PPAP_Duterte,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PROJEKT-63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pain999x,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PangEr2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
PanicKernel,3,4584,2,0,5,0,5390,0,10,14,0,0,3340,1,19.5651,16.1544,8.50993
PaqAttaque,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PareNnrus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pashtet1349,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PaterAndy,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
PatrickTheStone,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Phantom-of-Hell,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Phonogenic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Phrauu,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pimpf92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pittori,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
PlauzeTung,7,7710,20,0,78,0,17950,0,32,18,0,0,0,2,26.6965,14,21.1159
PlutanjoDark,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
PolyGn0m,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Poly_HK,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
PorgHasHiGround,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Psssst_dont_cry,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pub1cHa1rFa1ry,2,2330,0,0,0,0,4470,0,5,1,0,0,9.26508e+06,2,15.223,222.585,6.87574
Puff_SW3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pvt_koteych1k,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pytheastic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
QZXSCL,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
QuickTurtleOR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Quotermain87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
R-Zeus2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RAPAS-Shelldone,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
REDmachineTockA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RENEl33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ROFilipR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RUSBAT_WEIS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RUS_Antisniper,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RaBiDMoOsE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RandoCommando87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RayD_O1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Reaper_FocA,10,3555,18,0,43,0,5330,0,0,0,0,0,0,0,25.2205,0,10.8049
RedCoyote_Bzh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RedLeko,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RedanG44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Reingefickt,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Renok1337,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Rezola,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RicklingeStrasse,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Rifle_grenade,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
RigelCentaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Rimm-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ringo_Sakubee,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
RiskyBiskit,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ritterbruder2,2,2980,0,0,0,0,13210,0,3,2,0,0,0,2,16.3521,5,9.01505
RoninJedi,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RsO_Michtouille,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RushOr,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Rycon99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ryk3rrr,2,2623,0,0,14,0,1570,0,5,12,0,0,7600,2,15.755,17.3189,12.2932
SATANA26rus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SBeamBANZAI,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
SF-Ronniebrasko,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
