Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---JinnnX---,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-1PARA-Alex,3,2189,0,0,0,0,8920,0,19,6,0,0,26900,0,15.951,16.989,7.38412
-BFVN-Lu_Xu_Bu,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-FLA-TheDude,12,15957,0,7,0,0,24600,0,80,17,0,0,93200,2,37.0947,19.0544,6.72881
-MYLF-Vigile,2,2486,1,0,3,0,5850,0,12,9,0,0,13540,2,15.5114,21.5337,9.35413
-NooB-ooTT,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-RTCW-eponine,4,5743,5,0,55,0,11470,1,6,14,0,0,27180,3,21.8564,10.9983,22.3174
-RUS-barny,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-SnP-Rinya_Pista,1,1010,0,0,0,0,870,0,0,3,0,0,2700,2,11.0101,6.12815,5.431
-TIF-Selande-xs,35,37682,31,0,131,0,48410,0,41,94,0,0,133070,3,68.4082,11.2294,10.0983
-TSF-Philou,12,13763,32,0,86,0,31620,0,17,16,0,0,37440,2,35.8886,6.33327,16.1647
-v-Freakazoid-v-,31,21185,65,0,106,0,49430,0,20,45,19,1,93615,2,58.5783,9.06681,11.3186
03MAZ995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0602_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0hLawd,11,9457,21,0,76,0,21630,0,15,34,0,0,39300,2,32.0827,9.39309,14.6588
1-800-G3T-REKT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107_an_droid,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
141_LoveAragaki,52,20778,48,38,131,1,72690,0,42,73,18,0,112665,3,79.4007,8.63211,10.1136
1ArchDemon1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1nvective,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1st-Phara0,13,15235,48,0,168,0,30850,0,28,39,0,0,81320,2,37.7108,12.6972,22.9795
3xtr3me_HFw_GER,1,540,0,0,0,0,1510,0,4,0,0,0,7300,2,9.12619,8.30774,6.23368
