Username, Activity Index, Teamwork Index, PTFO Index, Region, Sent Friend Request, Accepted Invitation, Sent Message, Replied to Message, Applied to Clan
manimal_pr1me,70.1199,10.2376,32.3548,1,1,,,,
eLSilencio,64.0193,18.9779,615.813,1,1,,,,
WilieSee,63.0907,5.61637,17.1327,1,1,,,,
RGB3D,60.7884,6.28465,11.4793,1,1,,,,
Saruojo,58.0912,49.9956,30.401,1,1,,,,
Zondr3x,57.9199,11.4279,27.2181,1,1,,,,
Zadarsky,54.7186,8.05939,102.62,1,1,,,,
X-HOWITZER-X,53.5388,10.5816,28.0698,1,1,,,,
hiirooh,51.2603,5.77076,113.236,1,1,,,,
sdt_russell,49.4538,32.0196,91.3031,1,1,,,,
research-kitchen,49.1042,5.4757,164.536,1,1,,,,
Spiroku,48.1954,41.0039,30.631,1,1,,,,
thesickestpuppy,47.9386,12.4999,29.6265,1,1,,,,
sirphunkee,43.9074,11.5053,41.922,1,1,,,,
Thumper392,42.3416,11.7695,5.21513,1,1,,,,
bigguyhawaii,42.2731,8.68573,29.2926,1,1,,,,
WereWolf1952,42.1985,6.86098,8.91142,1,1,,,,
___Havasuvian___,42.0381,5.99304,19.706,1,1,,,,
xLafertyx,40.9923,46.4424,182.993,1,1,,,,
mr12steps,40.655,6.10156,30.1507,1,1,,,,
burnoutGT,39.1273,7.08276,24.5372,1,1,,,,
SeptimusTOS,38.8066,22.0304,11.2262,1,1,,,,
TerranMarineJ,37.9331,20.9527,46.0597,1,0,,,,
xJaekyll,37.6345,78.6367,91.6541,1,1,,,,
Satanz_Taint,36.4466,8.42095,0.219366,1,1,,,,
trip1ex,35.4715,7.07609,365.438,1,1,,,,
Tsedaqah,34.5885,11.0378,15.3284,1,1,,,,
col_Diablo,33.1508,6.36856,70.5765,1,1,,,,
WutaDalek,33.103,34.0498,212.706,1,1,,,,
jmac1013,31.6306,13.9387,104.645,1,1,,,,
Skylark-AOM,31.6204,6.82598,125.151,1,1,,,,
Supressor12,30.8929,6.118,37.6186,1,1,,,,
igor7777ny,29.3414,7.90101,42.233,1,1,,,,
mus1CK,28.7024,9.77591,30.5641,1,1,,,,
xBONEGODx,28.2009,13.4981,11.1979,1,1,,,,
shadow85225,27.489,6.19303,14.7596,1,1,,,,
Vocal_Leader,26.866,53.7935,26.1728,1,1,,,,
Zh1m,25.9735,16.2378,23.3362,1,1,,,,
iiMobo,25.9186,6.09494,23.5565,1,1,,,,
Shadoxfilms,24.727,8.87336,30.0645,1,1,,,,
RETURNEDMOSES,22.8666,390.224,112.267,1,1,,,,
Renamed432123,22.3744,7.78759,5.00058,1,1,,,,
racsonan28,22.3317,6.13214,4.98318,1,1,,,,
uZoro,22.2255,7.01236,29.6699,1,1,,,,
TAAAAAAAAASTY,21.3863,42.5423,321.694,1,1,,,,
angel22go,20.6394,20.1259,16.7106,1,1,,,,
RG_1001,20.5907,12.6418,260.345,1,1,,,,
scrallstigla,20.4841,6.71234,193.55,1,1,,,,
ceLL0n,20.216,22.1442,9.59407,1,1,,,,
