Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2142-AMON13-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-AnserMagnus-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-BRT-mdlchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-BS-Cadman,13,7900,2,0,4,0,18460,0,12,2,0,0,18660,2,32.8568,2.71155,6.13864
-HERO-CHENZHIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-LostinRust-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-NFN-Helden,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-SkCr-Devin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-UsedPlayer-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-V3-majorfreim,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-ex1s-88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-o-Feet-o-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-sSadiXx-,13,12894,0,0,0,1,28640,0,48,26,0,0,78500,2,36.3754,13.6118,6.85099
-tk_mako,0,390,0,0,0,0,0,0,0,0,0,0,0,2,7.29163,0,0
-uG-HQRacing16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-xxTaIonxx-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1024_yin,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
180302neon,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1988pl,4,4402,12,0,3,0,5010,0,16,14,0,0,18450,2,20.3431,15.7044,8.94841
1Kamikaze,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1eyedking-xd-,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1icezera,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21_Anarchy_21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2duka2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3K-Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3ar1ofcur1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4oKySnuK,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5tok3r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000_BOJIbT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
61Trabz,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
66Eagle66,5,5437,6,0,6,0,4010,0,11,27,0,0,14760,2,22.5337,15.5766,7.32162
6ewehrw0lf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8BuzzDee8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
91ronnie,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
97VR4JON,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9TMK9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ACE_RoXXoR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AMOK_Colonel_JGF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANTIHERO202,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ARSval,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ATEO21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ATF_Fish7O2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adamanhide,7,7197,0,0,0,0,22160,0,35,42,0,0,5132,2,26.25,22.2253,7.50056
Addimin,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AdelMkadmi,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Aegis94,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Agraas,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AirSlayer,9,8497,0,33,1,0,20350,0,23,11,0,0,39430,2,29.3444,8.39726,9.89565
Akarraz,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Akira_A1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AlanYe97,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Albedomancer,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
AlbertSonic35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AlbinoKalle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Aleksandru88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Aleksej89,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Alex501Trooper,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ali_Overdose,0,240,2,0,15,0,1610,0,0,0,0,0,0,3,6.20312,0,0
Alschke,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
American_Tencent,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Amrati,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AnNka-tr,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AnarchyZG,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AnhkMorePork,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Anna_Maniak,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anonymoose-VX9-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antagonist0079,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
