Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
Elrick97,0,0,0,0,0,0,0,0,0,0,0,0,1.85052e+06,1,0,0,0
EndingWithoutME,18,18316,40,0,180,0,26890,0,41,46,0,0,826305,3,44.2738,31.7428,18.2161
FAIL_DEADSHOT,1,170,0,0,0,0,1050,0,1,0,0,0,367475,0,6.53018,12.7538,5.69243
FWG-Hetzer,5,3423,85,0,159,0,15640,0,14,25,0,0,981573,2,20.0299,41.6791,55.4785
FarMlX,2,1100,0,0,0,0,2320,0,2,3,0,0,3.89373e+06,2,12.2987,101.221,5.83599
FeistyElf,0,0,0,0,0,0,0,0,0,0,0,0,1.13245e+06,1,0,0,0
Fid3m,0,0,0,0,0,0,0,0,0,0,0,0,4.34955e+06,2,0,0,0
FireMorf,0,0,0,0,0,0,0,0,0,0,0,0,3.21699e+06,2,0,0,0
Folkoel,0,0,0,0,0,0,0,0,0,0,0,0,673825,2,0,0,0
Frastie,0,0,0,0,0,0,0,0,0,0,0,0,7.95239e+06,2,0,0,0
Freaktrick1,0,0,0,0,0,0,0,0,0,0,0,0,567525,2,0,0,0
FrozEaDents,0,0,0,0,0,0,0,0,0,0,0,0,2.8106e+06,2,0,0,0
GER-VaporVader,0,0,0,0,0,0,0,0,0,0,0,0,236455,2,0,0,0
GREK-GX,0,0,0,0,0,0,0,0,0,0,0,0,2.41002e+06,2,0,0,0
Gamer_Ritesh,38,33468,16,0,27,1,35740,0,63,60,0,0,977410,3,70.1145,32.5742,6.5371
Garrus18,0,0,0,0,0,0,0,0,0,0,0,0,719800,2,0,0,0
GehmalBierholn,2,702,3,0,6,0,770,0,0,1,0,0,8.03035e+06,2,10.8681,190.41,8.42961
Gesichtsausdruck,0,0,0,0,0,0,0,0,0,0,0,0,242800,2,0,0,0
GheoLei,0,0,0,0,0,0,0,0,0,0,0,0,155775,2,0,0,0
Gogodless,0,0,0,0,0,0,0,0,0,0,0,0,140375,1,0,0,0
Gr0wzy,0,0,0,0,0,0,0,0,0,0,0,0,59815,1,0,0,0
Gregoryyyyyyy,13,12558,71,0,273,0,24890,0,62,62,0,0,252665,2,36.1708,26.6166,32.6143
H9vCR_JerRmy,0,0,0,0,0,0,0,0,0,0,0,0,1.459e+06,3,0,0,0
Haehnchen_Brust,11,11274,21,0,62,1,28740,0,62,52,0,0,760910,2,33.3533,41.0704,14.149
Ham2M,0,0,0,0,0,0,0,0,0,0,0,0,1.1332e+07,3,0,0,0
HappyUkrop,8,8045,0,0,23,0,19210,0,22,11,0,0,116875,2,27.9775,11.756,9
Hayashi-Senpai,4,6248,56,0,137,0,21080,0,22,20,0,0,1.90094e+06,1,22.3646,70.3054,56.5203
Heisenburgerman,5,4211,0,0,0,0,4300,0,2,1,0,0,6.49303e+06,2,21.1035,156.224,5.41533
HighlAnderM0nk,0,0,0,0,0,0,0,0,0,0,0,0,3.09226e+06,2,0,0,0
HoxyCrab,0,0,0,0,0,0,0,0,0,0,0,0,3.41838e+06,1,0,0,0
IIETPOBU4_18RUS,0,0,0,0,0,0,0,0,0,0,0,0,372725,2,0,0,0
III-Kemo-III,0,0,0,0,0,0,0,0,0,0,0,0,3.34535e+06,2,0,0,0
IIIParIII,0,0,0,0,0,0,0,0,0,0,0,0,3.33875e+06,2,0,0,0
IIIVisekrunaIII,0,0,0,0,0,0,0,0,0,0,0,0,6.54037e+06,2,0,0,0
Indahass,15,16844,56,1,66,0,41720,0,56,75,0,0,8.05352e+06,2,40.5509,206.922,15.2619
InvinsibleSounds,24,30839,26,0,120,0,9760,0,32,128,0,0,624725,2,55.2515,30.5549,10.4888
Irratant,0,0,0,0,0,0,0,0,0,0,0,0,1.27311e+07,2,0,0,0
IxLovexYou,0,0,0,0,0,0,0,0,0,0,0,0,292375,2,0,0,0
JOKER_SA26,4,7586,0,0,49,0,5580,0,1,13,0,0,1.13196e+07,2,23.5904,268.349,18.1114
JamesJC,0,0,0,0,0,0,0,0,0,0,0,0,1.10608e+07,1,0,0,0
Jeenter,2,1442,0,0,0,0,4780,0,1,2,0,0,1.21375e+06,2,13.2703,35.4898,6.99197
JehovasWetnesses,0,0,0,0,0,0,0,0,0,0,0,0,8.73765e+06,1,0,0,0
Jknight256,0,0,0,0,0,0,0,0,0,0,0,0,661070,2,0,0,0
Joacurucho,0,0,0,0,0,0,0,0,0,0,0,0,5.74833e+06,3,0,0,0
JuKi187_GER,0,0,0,0,0,0,0,0,0,0,0,0,560850,2,0,0,0
Justinho05,0,0,0,0,0,0,0,0,0,0,0,0,598825,2,0,0,0
KOKOSfly_YT,0,0,0,0,0,0,0,0,0,0,0,0,349250,2,0,0,0
KayzaJhose,0,0,0,0,0,0,0,0,0,0,0,0,707405,2,0,0,0
Kernel_Fender,7,13163,8,0,0,0,19330,0,13,33,0,0,3.10985e+06,2,30.5367,91.0057,8.24881
