Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4mbaZ4mba,0,0,0,0,0,0,0,0,0,0,0,0,62376,2,0,0,0
RETURNEDMOSES,4,6775,6,0,1514,0,43710,0,12,3,0,0,4.28676e+06,1,22.8666,112.267,390.224
RGB3D,30,29487,3,0,25,0,46800,0,45,48,0,0,176525,1,60.7884,11.4793,6.28465
RG_1001,5,3821,4,0,29,0,9730,0,14,25,0,0,1.05824e+07,1,20.5907,260.345,12.6418
RUS_DONI,0,0,0,0,0,0,0,0,0,0,0,0,1.37207e+07,0,0,0,0
RUS_Vadim81,0,0,0,0,0,0,0,0,0,0,0,0,1.64776e+07,2,0,0,0
R_B_Q-need-medic,40,23359,69,11,425,0,81220,0,28,91,5,0,2.46754e+06,3,68.4902,67.8672,18.7123
RaBB1T52,6,7040,33,0,118,0,18340,0,23,25,0,0,9.34764e+06,2,25.1092,234.394,32.4351
RafaleXx,11,10201,65,0,131,0,52860,0,95,42,0,0,521085,2,32.6211,38.8444,25.3258
Ragman_ET,3,5060,7,0,108,0,13480,0,6,13,0,0,7.79361e+06,2,20.1191,196.173,46.1872
Ralcayaga,13,12324,44,0,50,0,22440,0,44,60,0,0,769925,3,36.0261,37.3015,13.4456
Ramm971,9,8234,0,0,20,0,9340,0,9,27,0,0,2.67684e+06,2,29.1325,75.8247,7.67472
Rampagniza,11,8580,13,0,88,0,10590,0,19,36,0,0,1.11261e+07,2,31.4104,267.155,14.5692
RastyShackleford,3,3899,6,0,9,0,10260,0,12,22,0,0,2.28053e+06,2,18.6959,80.4155,12.6473
Razt0r,0,0,0,0,0,0,0,0,0,0,0,0,741640,2,0,0,0
RealMadDad,9,10932,0,0,3,1,22460,0,65,19,0,0,3.42162e+06,2,31.1252,103.281,7.06753
RealSuTW,0,0,0,0,0,0,0,0,0,0,0,0,238925,3,0,0,0
Real_Seven777,18,16160,51,1,381,0,18110,0,26,32,0,0,505225,3,43.2006,20.4265,29.6318
Reborn-divasco,4,5112,64,0,221,0,10240,0,28,5,0,0,505080,2,21.1775,30.4226,78.1131
RedChaos254,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,0
RedNeckNL-666-,11,11787,7,0,38,0,20320,0,39,22,0,0,212150,0,33.687,17.4864,10.5557
Redbeerd718,30,22184,17,0,50,0,65740,0,82,83,0,0,578135,0,58.0047,27.3407,8.84165
Reeflex2509,0,0,0,0,0,0,0,0,0,0,0,0,2.58891e+06,2,0,0,0
Regimentsfuehrer,15,15132,66,0,194,0,56010,0,62,85,0,0,1.09978e+07,2,39.655,273.371,24.8171
ReiChaaan,0,0,0,0,0,0,0,0,0,0,0,0,2.50869e+06,2,0,0,0
Remquist,0,0,0,0,0,0,0,0,0,0,0,0,2.2117e+06,1,0,0,0
Renamed432123,5,5290,0,0,0,0,18390,0,7,5,0,0,27250,1,22.3744,5.00058,7.78759
Rentner2018,0,0,0,0,0,0,0,0,0,0,0,0,5370,2,0,0,0
Requiem29,23,9271,4,0,10,0,6320,0,0,0,0,0,74515,2,43.9437,2.49075,4.06853
ResortKnight,4,5470,0,0,0,0,7700,0,23,30,0,0,4.39136e+06,2,21.5691,133.665,6.62381
RexArminius,0,0,0,0,0,0,0,0,0,0,0,0,1.77423e+06,2,0,0,0
Rhagoss,0,0,0,0,0,0,0,0,0,0,0,0,753565,1,0,0,0
Rheinmetallen2,12,8172,0,0,4,0,8320,0,36,5,0,0,3.57756e+06,2,32.0819,94.9044,5.13078
RhynoDios,14,15980,26,0,130,0,28490,0,50,81,0,0,3.6878e+06,3,39.1068,109.46,17.7165
RlC0-COL,22,21326,0,0,0,0,23190,0,99,81,0,0,1.72172e+06,0,49.6393,60.9649,5.69784
Rman6980,31,26894,66,9,35,0,39930,0,65,115,0,0,266935,0,60.859,19.0114,8.99072
Romeo_102_Rus,6,5873,0,0,0,1,10010,0,32,16,0,0,2.29569e+06,2,23.99,74.7771,6.39071
RoonilWazzlib,0,0,0,0,0,0,0,0,0,0,0,0,1.03714e+07,2,0,0,0
Rothose7,0,0,0,0,0,0,0,0,0,0,0,0,1.60464e+07,2,0,0,0
Rudi5O,17,18395,7,0,8,0,70600,0,67,40,0,0,790188,2,43.3115,33.8203,8.0272
Runagel,4,4360,8,22,53,0,8620,0,8,12,0,0,3.41148e+06,2,20.291,95.0451,26.8134
Rygar_1989,8,10414,22,0,40,1,31260,0,23,79,0,0,6.69015e+06,2,29.7704,184.632,14.9061
Rymik,9,8772,0,8,1,0,9890,0,12,15,0,0,1.07585e+06,2,29.5614,35.0485,6.75639
Ryuga90,15,12234,2,0,29,0,12640,0,30,30,0,0,1.20583e+06,2,37.97,40.2927,7.38677
S1ckbag,8,8491,0,0,0,0,26890,0,32,40,0,0,114274,0,28.3396,21.6795,7.61407
SCHkoumTRAP,13,15832,26,0,73,0,43200,0,19,66,1,0,1.77781e+06,2,38.0291,59.3264,14.5925
SSAWCAT,8,8729,0,1,71,0,5060,0,21,37,0,0,397140,3,28.5277,25.5519,14.0139
SStaged,18,16485,0,0,0,0,44520,0,52,117,0,0,246794,0,43.3683,25.4537,7.0519
STlG_YY,11,5263,10,3,56,0,8400,0,10,23,0,0,379675,3,28.3449,17.0825,11.2557
Saruojo,28,27527,311,0,882,0,114460,0,158,103,0,0,428874,1,58.0912,30.401,49.9956
Satanz_Taint,17,7420,19,0,57,0,6500,0,0,0,0,0,4980,1,36.4466,0.219366,8.42095
Scalpator,15,14536,0,0,0,1,25310,0,18,70,0,0,109825,2,39.3273,14.5483,6.40883
Schlanguste,7,6761,51,0,169,0,17800,0,30,34,0,0,2.92052e+07,2,25.8536,655.117,38.1006
Schleicherhro,0,0,0,0,0,0,0,0,0,0,0,0,94125,2,0,0,0
Schludi,0,0,0,0,0,0,0,0,0,0,0,0,1.3391e+06,2,0,0,0
Schwartenmagen,3,3344,12,0,22,0,2270,0,2,10,0,0,192830,2,17.9135,13.942,16.2436
SchweinFC15,0,0,0,0,0,0,0,0,0,0,0,0,7.37043e+06,2,0,0,0
Screamin_Bayonet,0,0,0,0,0,0,0,0,0,0,0,0,2.70241e+06,1,0,0,0
Sensei_Saitek,3,3450,5,0,2,0,5420,0,5,15,0,0,3.62894e+06,1,18.0693,103.096,8.51898
