Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2142-AMON13-,6,6970,0,0,0,1,20070,0,6,9,0,0,20020,2,25.0457,5.75799,7.605
-AnserMagnus-,2,1241,0,0,0,0,430,0,0,4,0,0,3120,2,12.7208,4.14542,3.82921
-BRT-mdlchrist,4,6811,13,0,92,0,27180,0,16,12,0,0,44490,2,22.8999,15.5588,35.0792
-BS-Cadman,27,20420,2,0,4,0,47260,0,49,36,0,0,88140,2,54.2426,8.90273,6.46784
-HERO-CHENZHIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-LostinRust-,1,1240,20,0,79,0,2620,0,1,1,0,0,4870,2,11.7179,4.21508,106.154
-NFN-Helden,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-SkCr-Devin,6,7312,0,0,10,0,11300,0,35,33,0,0,79100,1,25.3519,24.63,7.58738
-UsedPlayer-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-V3-majorfreim,3,2273,0,0,0,0,0,0,5,19,0,0,7020,2,16.1144,16.2972,0
-ex1s-88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-o-Feet-o-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-sSadiXx-,32,30437,21,0,55,1,66030,0,103,45,0,0,175570,2,63.1152,14.4521,8.73946
-tk_mako,1,510,0,0,0,0,0,0,0,0,0,0,0,2,8.97298,0,0
-uG-HQRacing16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-xxTaIonxx-,9,8270,0,0,2,0,12440,0,28,36,0,0,34200,1,29.1618,15.2285,6.09715
1024_yin,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
180302neon,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1988pl,11,11072,45,0,81,1,30200,0,31,38,0,0,48330,2,33.2191,13.6803,18.2383
1Kamikaze,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1eyedking-xd-,1,390,0,0,5,0,110,0,1,2,0,0,1450,3,8.29163,6.0747,8.23853
1icezera,7,4882,35,0,219,0,14320,1,11,17,0,0,40700,1,23.9162,9.43796,42.7247
21_Anarchy_21,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
2duka2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3K-Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3ar1ofcur1,11,11630,37,0,15,0,21090,0,22,17,0,0,23350,2,33.5859,7.87054,10.6169
4oKySnuK,11,6545,0,32,136,0,23070,0,17,7,0,0,39150,2,29.6508,5.38828,21.7671
5tok3r,11,8064,54,0,179,0,44230,0,47,24,0,0,18790,2,30.9932,12.716,28.9626
6000_BOJIbT,2,1940,0,0,0,0,3500,0,0,1,0,0,100,2,14.4405,1.00814,6.46784
61Trabz,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
66Eagle66,5,5437,6,0,6,0,4010,0,11,27,0,0,14760,2,22.5337,15.5766,7.32162
6ewehrw0lf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8BuzzDee8,1,1899,8,0,29,0,2770,0,0,0,0,0,7600,2,13.3523,0.318938,44.2547
91ronnie,8,7620,37,0,76,0,30320,0,18,18,0,0,43450,2,27.6196,10.5257,21.8462
97VR4JON,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9TMK9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ACE_RoXXoR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AMOK_Colonel_JGF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANTIHERO202,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ARSval,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ATEO21,1,1170,0,0,0,0,1060,0,0,2,0,0,1120,2,11.5125,4.05982,5.70593
ATF_Fish7O2,36,28403,48,0,119,0,72830,0,86,81,0,0,171964,1,66.4068,14.3493,10.7065
