Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-FALCON-Z1996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-HERO-A-Nnai,2,1483,0,0,0,0,1780,0,5,8,0,0,9450,3,13.376,13.3871,5.46195
-HERO-lmz04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-Hibiki-Beppu,17,17651,70,11,164,1,83590,0,39,66,0,0,122210,3,42.9522,15.9125,22.3738
-Lg-Lepis,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-Rem-Diu_Ram,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-SHARK-MaoMao,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-StronkWizurd-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-ToY-bsting60,19,16178,0,0,0,1,58500,0,63,42,1,2,82020,3,44.2099,13.7184,7.44847
-USMC-ANARCHEYYY,17,18548,61,0,147,0,37610,0,75,81,0,0,153950,3,43.3841,22.8333,18.858
-XH-262,31,19814,151,9,457,0,71310,0,59,56,0,0,211750,3,57.9707,13.4752,25.9252
-_-CRO-VekiY-_-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-iNFi-PyromanGER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-yyk-reaper,20,23247,167,5,572,1,25230,0,56,56,0,0,95845,3,48.4446,14.1334,42.9591
007MrGreen,9,8281,14,0,100,0,27190,0,14,14,0,0,28825,2,29.1707,7.05262,19.4137
00Dead_Eyes00,11,11182,18,0,33,0,19210,0,20,85,0,0,75380,2,33.2924,21.5171,10.4641
00sel3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0404TY,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0Kerio0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0daymax,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0lesua,1,910,0,0,0,0,4010,0,0,3,0,0,300,2,10.6685,6.01972,7.95767
19Ichnusa,1,690,0,6,0,0,720,0,2,0,0,0,2600,2,9.81732,4.12399,11.18
19SNIPER77,4,6105,0,0,0,0,9420,0,2,5,0,0,5200,2,22.2236,3.2279,6.96623
19_Ptoku_89,16,11586,105,0,314,0,62470,0,92,42,0,0,53100,2,38.5574,17.8302,33.9046
1NF1N1T3_D4RKN3S,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1SRXH111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1stEagleSn1per,42,46855,40,0,343,0,96120,0,115,147,0,0,349880,2,77.9221,22.2782,15.9161
3vrythgD13s,5,6173,0,0,0,0,11980,0,28,19,0,0,86400,3,23.2909,20.8504,6.99635
4OsamaBinLama2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5kiZZeD,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
666satani,14,11410,0,0,0,0,19010,0,57,19,0,0,178900,2,36.4428,15.5469,6.06939
69Chrysler300,21,20806,0,0,0,0,50530,0,114,82,0,0,184000,2,48.413,23.6918,7.00364
747stranger,3,2971,6,0,10,0,11230,0,12,9,0,0,26000,2,17.3376,14.9591,12.8218
